code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,buy_trade_date,end_trade_date
sh.600021,上海电力,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,9.04,75.0,62.7,48.9,34.5,64.4,63.4,47.5,55.4,"PB=1.26, 低估均值=1.35, 比值=0.93, 分位=18%",-0.0141766630316249,0.0390804597701148,,,,,,,,1.25846,1.3515586,0.9311176000803812,0.1848979591836734,低估价值,价值线内/历史低位,63.4,低估价值,,9.04,16.77,8.76245392,16.77,0.8550884955752214,0.913847439667905,2025-05-06,2026-05-18
sh.600529,山东药玻,C30非金属矿物制品业,资源金属,PB,PB低估,22.09,75.0,69.2,68.0,1.9,50.0,63.4,42.5,53.0,"PB=1.78, 低估均值=1.86, 比值=0.96, 分位=2%",-0.0671452702702702,-0.0718487394957984,,,,,,,,1.781133,1.863533,0.955782913423052,0.0220408163265306,低估价值,价值线内/历史低位,63.4,低估价值,,22.09,17.51,21.49588945,17.51,-0.2073336351290176,-0.18542565820648094,2025-05-06,2026-05-18
sh.601001,晋控煤业,B06煤炭开采和洗选业,B06煤炭开采和洗选业,PB,PB低估,11.24,78.4,78.4,61.6,0.3,48.8,63.4,39.1,51.3,"PB=0.98, 低估均值=1.16, 比值=0.85, 分位=4%",-0.0733718054410552,-0.1107594936708861,,,,,,,,0.98318,1.1581806363636362,0.8489003952672795,0.0416326530612244,低估价值,价值线内/历史低位,63.4,低估价值,,11.24,18.5,10.65499172,18.5,0.6459074733096084,0.7362753990014363,2025-05-06,2026-05-18
sh.601222,林洋能源,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,5.55,100.0,100.0,29.2,0.0,46.1,63.4,25.1,44.2,"价值线=10.86, 现价/价值=0.51, 扣非EPS=0.37, akshare东方财富扣非净利润同比=-12.0%, 市值=114.4亿",-0.1628959276018099,-0.1814159292035398,114.3880142235,10.859728762748064,0.5110624879544016,0.37,0.37,1.0,年报扣非EPS,,,,,低估价值,深度低估,63.4,低估价值,,5.55,6.22,5.46143865,6.22,0.12072072072072082,0.13889405312645953,2025-05-06,2026-05-18
sh.688357,建龙微纳,C26化学原料和化学制品制造业,半导体/电子,PB,PB低估,25.12,96.1,96.1,11.7,58.9,17.0,63.4,33.2,48.3,"PB=1.48, 低估均值=2.90, 比值=0.51, 分位=11%",-0.0441400304414003,0.1496567505720822,,,,,,,,1.480215,2.9025995,0.5099618462691805,0.1113653699466056,低估价值,价值线内/历史低位,63.4,低估价值,,25.12,34.13,24.94094464,34.13,0.35867834394904463,0.3684325310302281,2025-05-06,2026-05-18
sz.000723,美锦能源,C25石油、煤炭及其他燃料加工业,C25石油、煤炭及其他燃料加工业,PB,PB低估,4.3,100.0,100.0,0.0,33.0,51.4,63.4,24.3,43.9,"PB=1.39, 低估均值=2.96, 比值=0.47, 分位=4%",-0.0486725663716813,0.0361445783132527,,,,,,,,1.388326,2.956334444444445,0.4696106026193848,0.0359183673469387,低估价值,价值线内/历史低位,63.4,低估价值,,4.3,4.07,4.3,4.07,-0.05348837209302315,-0.05348837209302315,2025-05-06,2026-05-18
sz.300505,川金诺,C26化学原料和化学制品制造业,资源金属,PB,PB低估,17.25,77.9,77.9,21.6,87.8,64.2,63.4,54.0,58.7,"PB=1.81, 低估均值=2.30, 比值=0.79, 分位=14%",0.0883280757097793,0.1259791122715403,,,,,,,,1.812771,2.298580875,0.7886479086797413,0.1405405405405405,低估价值,价值线内/历史低位,63.4,低估价值,,17.25,24.31,16.95680175,24.31,0.40927536231884054,0.4336429922582541,2025-05-06,2026-05-18
sh.600908,无锡银行,J66货币金融服务,金融,PE,PE低估,5.54,80.5,80.5,46.1,29.8,45.0,63.3,42.0,52.6,"PE=5.35, 低估均值=7.04, 比值=0.76, 分位=14%",-0.0398613518197572,-0.0348432055749129,,,,,,,,5.35416,7.035849111111111,0.7609827776926933,0.1369731800766283,低估价值,价值线内/历史低位,63.3,低估价值,,5.54,5.54,5.25605838,5.54,0.0,0.05402177819798126,2025-05-06,2026-05-18
sh.603299,苏盐井神,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,9.67,80.1,80.1,60.5,0.1,40.9,63.3,37.4,50.4,"PB=1.21, 低估均值=1.46, 比值=0.83, 分位=4%",-0.1272563176895307,-0.0979477611940299,,,,,,,,1.213463,1.462681181818182,0.8296155136771556,0.0414644905161005,低估价值,价值线内/历史低位,63.3,低估价值,,9.67,10.45,9.23671631,10.45,0.08066184074457072,0.13135443909719902,2025-05-06,2026-05-18
sh.603345,安井食品,C13农副食品加工业,消费,VALUE,基本价值线,77.2,75.0,56.6,63.1,8.9,60.3,63.3,44.3,53.8,"价值线=90.45, 现价/价值=0.85, 扣非EPS=4.65, akshare东方财富扣非净利润同比=-0.5%, 市值=225.7亿",-0.0369261477045907,0.0447963188523481,225.71440848461933,90.45211453430828,0.8534902738035851,4.65,4.65,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,63.3,低估价值,,77.2,99.25,74.7378604,99.25,0.285621761658031,0.3279748639954376,2025-05-06,2026-05-18
sh.688526,科前生物,C27医药制造业,医药医疗,PE,PE低估,16.05,75.0,53.7,39.5,87.5,33.9,63.3,57.2,60.2,"PE=18.55, 低估均值=17.17, 比值=1.08, 分位=12%",0.0024984384759525,0.1862527716186253,,,,,,,,18.54765,17.166402600000005,1.0804622513047664,0.1237668161434977,低估价值,价值线内/历史低位,63.3,低估价值,,16.05,14.39,15.62555775,14.39,-0.10342679127725862,-0.07907287341471059,2025-05-06,2026-05-18
