source,scale,bucket_set,score_floor,top_n,ptv_cap,count,mean_return,median_return,win_rate,min_return,max_return,names,codes
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=1.1,strict_all,50,15,1.1,15,0.11991032267163555,0.048156608342359,0.6666666666666666,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=1.25,strict_all,50,15,1.25,15,0.10921541910717551,0.048156608342359,0.6666666666666666,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=15|ptv<=1.45,strict_all,50,15,1.45,15,0.09319858841417794,0.048156608342359,0.6666666666666666,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=none,strict_all,50,20,none,20,0.21763241825616175,0.054822902812762454,0.6,-0.3776825353147141,1.842001962708538,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=0.6,strict_all,50,20,0.6,20,0.15731879711952132,0.04562448346343505,0.65,-0.2172589818478142,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=0.75,strict_all,50,20,0.75,20,0.15086666841782614,0.04562448346343505,0.65,-0.2661823466878102,1.2202243389304015,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=0.85,strict_all,50,20,0.85,20,0.10312799279490939,0.04562448346343505,0.65,-0.4358672764941408,1.2202243389304015,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=1.0,strict_all,50,20,1.0,20,0.11063111183871759,0.056310752455362045,0.7,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=1.1,strict_all,50,20,1.1,20,0.11063111183871759,0.056310752455362045,0.7,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=1.25,strict_all,50,20,1.25,20,0.08170562572767823,0.04562448346343505,0.65,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=20|ptv<=1.45,strict_all,50,20,1.45,20,0.06093415733837317,0.03787555326610666,0.6,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=none,strict_all,50,30,none,30,0.2815568224713291,0.0497866833283462,0.5666666666666667,-0.3776825353147141,1.842001962708538,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=0.6,strict_all,50,30,0.6,23,0.14880288866649202,0.048156608342359,0.6521739130434783,-0.2172589818478142,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=0.75,strict_all,50,30,0.75,30,0.34644428551665685,0.10320919469973586,0.7,-0.2661823466878102,3.538869642396314,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=0.85,strict_all,50,30,0.85,30,0.2025762781001315,0.10320919469973586,0.7333333333333333,-0.4358672764941408,1.2202243389304015,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=1.0,strict_all,50,30,1.0,30,0.1622769911803364,0.10320919469973586,0.7,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=1.1,strict_all,50,30,1.1,30,0.1622769911803364,0.10320919469973586,0.7,-0.4358672764941408,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=1.25,strict_all,50,30,1.25,30,0.1375996412832091,0.08166068846140534,0.6666666666666666,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=30|ptv<=1.45,strict_all,50,30,1.45,30,0.09699084165609874,0.056310752455362045,0.6333333333333333,-0.4358672764941408,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=none,strict_all,50,50,none,50,0.21339052972890632,0.053115367325597254,0.58,-0.3890876570616796,1.842001962708538,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=0.6,strict_all,50,50,0.6,23,0.14880288866649202,0.048156608342359,0.6521739130434783,-0.2172589818478142,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=0.75,strict_all,50,50,0.75,50,0.37048093595207,0.09656755200879649,0.68,-0.2661823466878102,3.538869642396314,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=0.85,strict_all,50,50,0.85,50,0.39297806922292566,0.13025441109421595,0.72,-0.4358672764941408,3.884367926259744,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=1.0,strict_all,50,50,1.0,50,0.3935316112326516,0.125689231377075,0.74,-0.4358672764941408,3.884367926259744,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=1.1,strict_all,50,50,1.1,50,0.3935316112326516,0.125689231377075,0.74,-0.4358672764941408,3.884367926259744,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=1.25,strict_all,50,50,1.25,50,0.3936122597763692,0.125689231377075,0.72,-0.4358672764941408,3.884367926259744,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=50|ptv<=1.45,strict_all,50,50,1.45,50,0.3666652675896387,0.125689231377075,0.72,-0.4358672764941408,3.884367926259744,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=all|ptv<=none,strict_all,50,all,none,838,0.31904306152924183,0.13463978998946266,0.6909307875894988,-0.4612005856515373,4.3088807506391245,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=all|ptv<=0.6,strict_all,50,all,0.6,23,0.14880288866649202,0.048156608342359,0.6521739130434783,-0.2172589818478142,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=all|ptv<=0.75,strict_all,50,all,0.75,60,0.3082343732093653,0.052990088272626246,0.6333333333333333,-0.2661823466878102,3.538869642396314,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=all|ptv<=0.85,strict_all,50,all,0.85,92,0.34719626966270023,0.09656755200879649,0.6739130434782609,-0.4358672764941408,3.884367926259744,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
