code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy
sz.300433,蓝思科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.34,0.0,0.0,74.2,100.0,100.0,42.3,83.4,62.8,"价值线=18.95, 现价/价值=1.71, 扣非EPS=0.66, akshare东方财富扣非净利润同比=41.8%, 市值=1609.9亿",0.4443948191156768,0.4673321234119785,1609.9136964154998,18.95122544521788,1.7064859522401294,0.66,0.66,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,83.4,高质量趋势,2026-05-19 15:34:45,2026-05-19,32.34,37.96,0.17377860235003073,0.17772043263807058,
sh.603799,华友钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,50.22,75.0,49.9,91.1,99.8,100.0,83.2,80.0,80.7,"Q1价值线=55.76, 现价/价值=0.90, akshare东方财富扣非净利润同比=47.7%, 市值=835.9亿",0.1741875146130465,0.46158323632130394,835.9189709892158,55.76252682318713,0.9006048122467355,2.28,2.28,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.2,价值线左侧确认,2026-05-19 16:12:01,2026-05-19,50.22,57.6,0.1469534050179211,0.1469534050179211,0.47676581759812003
sh.689009,九号公司,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,73.17,0.0,0.0,100.0,73.3,83.9,45.7,83.2,64.5,"价值线=43.25, 现价/价值=1.69, 扣非EPS=1.50, akshare东方财富扣非净利润同比=125.3%, 市值=517.8亿",0.19990160708429006,0.16549856642242755,517.8167863714398,43.25029032387509,1.6917805511147883,1.501,1.501,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,83.2,高质量趋势,2026-05-19 16:11:43,2026-05-19,73.17,40.47,-0.4469044690446905,-0.44300719035560865,
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.11,92.0,92.0,78.6,2.5,47.2,82.8,47.9,61.2,"Q1价值线=23.28, 现价/价值=0.61, akshare东方财富扣非净利润同比=31.7%, 市值=124.1亿",-0.013976240391334827,-0.13062230437461497,124.05739480628785,23.28296306488727,0.6060225221625294,1.07,1.07,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,82.8,价值线左侧确认,2026-05-19 16:11:59,2026-05-19,14.11,12.42,-0.1197732104890149,-0.1197732104890149,0.31657538884638003
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,21.16,55.0,24.1,78.2,88.7,89.7,68.8,82.5,75.6,"价值线=19.57, 现价/价值=1.08, 扣非EPS=0.63, akshare东方财富扣非净利润同比=73.1%, 市值=1792.4亿",0.07465718638902996,0.15502183406113534,1792.3964942035889,19.568198724338146,1.0813463363739266,0.6297,0.6297,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,82.5,高质量趋势,2026-05-19 16:11:58,2026-05-19,21.16,19.31,-0.08742911153119104,-0.07498300790251944,
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.91,100.0,100.0,65.6,54.4,56.8,82.5,62.1,72.3,"PE=10.32, 低估均值=20.84, 比值=0.50, 分位=3%",-0.007528230865746499,0.03263707571801566,,,,,,,,10.321696,20.840885999999998,0.49526186170779884,0.025219941348973606,低估价值,价值线内/历史低位,82.5,低估价值,2026-05-19 16:11:46,2026-05-19,7.91,5.66,-0.2844500632111252,-0.2844500632111252,
sh.600179,安通控股,G58多式联运和运输代理业,G58多式联运和运输代理业,VALUE,基本价值线,3.5,100.0,100.0,57.7,94.8,54.6,82.3,72.3,77.3,"价值线=10.80, 现价/价值=0.32, 扣非EPS=0.11, akshare东方财富扣非净利润同比=643.4%, 市值=148.1亿",0.09717868338557989,0.25899280575539585,148.07861270155394,10.799003359455888,0.32410398288609743,0.1094,0.1094,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.3,低估价值,2026-05-19 16:11:58,2026-05-19,3.5,4.35,0.24285714285714266,0.24285714285714266,
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,PB,PB低估,28.05,37.7,37.7,88.2,60.8,88.7,0.0,0.0,0.0,"Q1价值线=24.03, 现价/价值=1.17, akshare东方财富扣非净利润同比=74.0%, 市值=463.0亿",0.14256619144602856,0.045471487141259814,463.0302391266991,24.027652927530866,1.1674049098595198,1.03,1.03,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,82.3,财报后主线候选,2026-05-19 16:11:54,2026-05-19,28.05,36.26,0.2926916221033866,0.2926916221033866,0.73983683521989
sh.603998,方盛制药,C27医药制造业,医药医疗,PE,PE低估,11.86,94.0,94.0,63.1,83.3,65.4,82.3,72.0,77.2,"PE=18.11, 低估均值=37.89, 比值=0.48, 分位=14%",0.026839826839826664,0.08310502283105015,,,,,,,,18.10612,37.894039,0.47780918787780846,0.14443084455324356,低估价值,价值线内/历史低位,82.3,低估价值,2026-05-19 16:11:49,2026-05-19,11.86,10.52,-0.11298482293423273,-0.08955450820283262,
sh.688093,世华科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,40.5,0.0,0.0,87.2,100.0,53.7,41.5,82.3,61.9,"价值线=27.94, 现价/价值=1.45, 扣非EPS=0.99, akshare东方财富扣非净利润同比=101.0%, 市值=106.1亿",0.2078735460781389,0.5016685205784206,106.07908719681818,27.94158489846199,1.44945249695658,0.99,0.99,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,82.3,高质量趋势,2026-05-19 16:11:53,2026-05-19,40.5,32.95,-0.18641975308641967,-0.17689311398771346,
