bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,train_ret_count,train_mean_return,train_median_return,train_win_rate,min_return,max_return,train_names,codes,validate_ret_count,validate_mean_return,validate_median_return,validate_win_rate,validate_names,overfit_gap,joint_score
all,momentum,,,,,,,,,70.0,60.0,train,20,17,0.658795395577986,0.167459539825582,0.5882352941176471,-0.3563814849380875,5.046035995587445,仕佳光子、捷佳伟创、胜宏科技、仕佳光子、同飞股份、冰川网络、万辰集团、阳光电源,"sh.688313,sz.300724,sz.300476,sh.688313,sz.300990,sz.300533,sz.300972,sz.300274",20,0.3962115592981656,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、欧科亿、天承科技、长盈通、仕佳光子,0.26258383627982046,0.36703551674737017
all,momentum,,,,,,,,,70.0,,train,20,18,0.5967872264703513,0.10525909433743835,0.5555555555555556,-0.3563814849380875,5.046035995587445,仕佳光子、捷佳伟创、胜宏科技、仕佳光子、同飞股份、冰川网络、万辰集团、阳光电源,"sh.688313,sz.300724,sz.300476,sh.688313,sz.300990,sz.300533,sz.300972,sz.300274",20,0.3962115592981656,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、欧科亿、天承科技、长盈通、仕佳光子,0.20057566717218572,0.3637387014340847
all,value,,,0.0,0.35,,,0.8,,,,train,20,17,0.7167423236283887,0.1304798394726951,0.7058823529411765,-0.3776825353147141,4.188522004581535,长芯博创、长川科技、新强联、成都先导、中国通号、生益电子、时代电气、运达股份,"sz.300548,sz.300604,sz.300850,sh.688222,sh.688009,sh.688183,sh.688187,sz.300772",20,0.3637009054591314,0.2557064920105434,0.9,佰维存储、锐科激光、麦捷科技、南亚新材、宇瞳光学、路维光电、明阳电路、聚飞光电,0.3530414181692573,0.36342593840296517
all,momentum,,,,,,,,,,60.0,train,20,18,0.6047930836095722,0.10525909433743835,0.5555555555555556,-0.3563814849380875,5.046035995587445,仕佳光子、捷佳伟创、胜宏科技、仕佳光子、同飞股份、冰川网络、万辰集团、阳光电源,"sh.688313,sz.300724,sz.300476,sh.688313,sz.300990,sz.300533,sz.300972,sz.300274",20,0.3962115592981656,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、欧科亿、天承科技、长盈通、仕佳光子,0.20858152431140659,0.36253782286320163
all,momentum,,,,,,,0.8,,70.0,60.0,train,20,17,0.658795395577986,0.167459539825582,0.5882352941176471,-0.3563814849380875,5.046035995587445,仕佳光子、捷佳伟创、胜宏科技、仕佳光子、同飞股份、冰川网络、万辰集团、阳光电源,"sh.688313,sz.300724,sz.300476,sh.688313,sz.300990,sz.300533,sz.300972,sz.300274",20,0.3864265783950158,0.22522634419753323,0.85,中船特气、华特气体、莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材,0.27236881718297024,0.3621430262957953
right_momentum,momentum,,,,,0.2,1.5,,,,60.0,train,12,10,0.4246025666310609,0.18406934766691815,0.6,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.31696131630950364,0.2039029793278992,0.85,莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材、佰维存储、南亚新材,0.10764125032155725,0.3608764201421052
right_momentum,momentum,,,,,0.2,1.5,,,70.0,60.0,train,12,10,0.4246025666310609,0.18406934766691815,0.6,-0.3563814849380875,3.402231391399943,胜宏科技、同飞股份、冰川网络、万辰集团、蓝思科技、乐鑫科技、扬杰科技、南微医学,"sz.300476,sz.300990,sz.300533,sz.300972,sz.300433,sh.688018,sz.300373,sh.688029",20,0.31696131630950364,0.2039029793278992,0.85,莱特光电、朗科科技、天承科技、长盈通、仕佳光子、联瑞新材、佰维存储、南亚新材,0.10764125032155725,0.3608764201421052
right_momentum,value,,,,,0.0,0.8,0.8,,,60.0,train,16,14,0.3109416018760972,0.1325592036423396,0.5714285714285714,-0.3563814849380875,3.402231391399943,芯动联科、胜宏科技、伊之密、同飞股份、特锐德、锦浪科技、宁德时代、南微医学,"sh.688582,sz.300476,sz.300415,sz.300990,sz.300001,sz.300763,sz.300750,sh.688029",20,0.3022102117846849,0.17445538212308825,0.9,锐科激光、麦捷科技、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路、聚飞光电,0.008731390091412328,0.360104448830908
all,value,,1.0,0.0,0.35,,,,,70.0,60.0,train,10,8,1.1391639090995642,0.2976364486543453,0.75,-0.3776825353147141,4.188522004581535,长芯博创、长川科技、新强联、成都先导、时代电气、运达股份、微导纳米、中科电气,"sz.300548,sz.300604,sz.300850,sh.688222,sh.688187,sz.300772,sh.688147,sz.300035",5,0.35600899222010796,0.4496028485346479,0.8,欧科亿、香农芯创、时代电气、华锐精密、当升科技,0.7831549168794563,0.3591760891769331
all,momentum,,1.0,0.0,0.35,,,,,70.0,60.0,train,10,8,1.1391639090995642,0.2976364486543453,0.75,-0.3776825353147141,4.188522004581535,阳光电源、成都先导、微导纳米、运达股份、中科电气、恒玄科技、新强联、时代电气,"sz.300274,sh.688222,sh.688147,sz.300772,sz.300035,sh.688608,sz.300850,sh.688187",5,0.35600899222010796,0.4496028485346479,0.8,欧科亿、华锐精密、香农芯创、当升科技、时代电气,0.7831549168794563,0.3591760891769331
