code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,end_quote_time,end_quote_trade_date
sz.300357,我武生物,C27医药制造业,医药医疗,PE,PE低估,20.01,89.7,89.7,15.0,5.5,43.8,58.0,19.7,38.8,"PE=33.26, 低估均值=46.25, 比值=0.72, 分位=4%",-0.09579755987347482,0.00907715582450841,,,,,,,,33.264578,46.24703063636363,0.719280298481355,0.036326530612244896,低估价值,价值线内/历史低位,58.0,低估价值,,20.01,23.51,19.83157083,23.51,0.17491254372813603,0.18548350009851444,,
sz.300498,温氏股份,A03畜牧业,A03畜牧业,PB,PB低估,17.08,75.0,73.7,18.0,36.8,82.0,57.6,37.0,47.3,"PB=2.69, 低估均值=3.12, 比值=0.86, 分位=11%",0.020920502092049986,0.058240396530359284,,,,,,,,2.689225,3.1197849,0.8619905173590654,0.10606060606060606,低估价值,价值线内/历史低位,57.6,低估价值,,17.08,14.72,16.5927076,14.72,-0.13817330210772827,-0.11286329182345145,,
sz.003038,鑫铂股份,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,21.13,81.0,81.0,9.7,66.0,36.0,57.2,36.9,47.0,"PB=1.72, 低估均值=2.49, 比值=0.69, 分位=23%",-0.03954545454545455,0.2884146341463416,,,,,,,,1.717186,2.4945169999999997,0.6883841641488113,0.22820763956904996,低估价值,价值线内/历史低位,57.2,低估价值,,21.13,13.53,21.13,13.53,-0.3596781826786559,-0.3596781826786559,,
sz.300039,上海凯宝,C27医药制造业,医药医疗,PE,PE低估,5.99,86.1,86.1,18.5,3.2,49.0,57.2,21.1,39.1,"PE=16.87, 低估均值=22.17, 比值=0.76, 分位=2%",-0.09924812030075192,-0.03542673107890493,,,,,,,,16.869519,22.17063609090909,0.7608946775738756,0.022857142857142857,低估价值,价值线内/历史低位,57.2,低估价值,,,5.73,,,,,16:29:45,
sz.300160,秀强股份,C30非金属矿物制品业,资源金属,PB,PB低估,5.53,85.7,85.7,14.0,35.0,31.0,57.2,27.5,42.3,"PB=1.64, 低估均值=2.18, 比值=0.75, 分位=7%",0.003629764065335772,0.035580524344569264,,,,,,,,1.638231,2.1771002999999998,0.752483016055806,0.0673469387755102,低估价值,价值线内/历史低位,57.2,低估价值,,,5.14,,,,,16:29:30,
sz.300406,九强生物,C27医药制造业,医药医疗,PE,PE低估,13.96,86.0,86.0,14.4,27.1,36.0,57.2,25.7,41.4,"PE=16.58, 低估均值=22.03, 比值=0.75, 分位=6%",-0.1503347534996956,0.04101416853094708,,,,,,,,16.583811,22.025483454545455,0.7529374342326891,0.061632653061224486,低估价值,价值线内/历史低位,57.2,低估价值,,,12.97,,,,,16:29:00,
sz.300332,天壕能源,D45燃气生产和供应业,D45燃气生产和供应业,PB,PB低估,4.55,82.3,82.3,16.6,26.8,31.8,55.3,25.7,40.5,"PB=0.93, 低估均值=1.16, 比值=0.80, 分位=2%",-0.07707910750507097,-0.06570841889117052,,,,,,,,0.932424,1.158728,0.8046961840915211,0.022857142857142857,低估价值,价值线内/历史低位,55.3,低估价值,,,5.54,,,,,16:29:00,
sz.003039,顺控发展,D46水的生产和供应业,D46水的生产和供应业,PB,PB低估,13.71,75.0,64.0,14.2,63.5,40.0,55.1,38.3,46.7,"PB=3.04, 低估均值=3.21, 比值=0.95, 分位=14%",-0.0021834061135370675,0.10922330097087385,,,,,,,,3.037895,3.2135841999999997,0.9453292059377191,0.14484126984126985,低估价值,价值线内/历史低位,55.1,低估价值,,,13.94,,,,,15:00:00,
sz.300685,艾德生物,C27医药制造业,医药医疗,PE,PE低估,21.2,75.0,68.3,24.5,30.0,47.1,55.1,32.3,43.7,"PE=29.64, 低估均值=31.60, 比值=0.94, 分位=9%",-0.08383751080380297,-0.0009425070688029447,,,,,,,,29.640136,31.597325,0.9380583957660972,0.08825093035619351,低估价值,价值线内/历史低位,55.1,低估价值,,,19.45,,,,,16:29:45,
sz.300057,万顺新材,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,4.77,86.3,86.3,0.0,34.1,37.4,54.6,21.9,38.2,"PB=0.81, 低估均值=1.09, 比值=0.74, 分位=7%",-0.032454361054766734,0.046052631578947345,,,,,,,,0.810814,1.0883636000000003,0.744984488639642,0.06816326530612245,低估价值,价值线内/历史低位,54.6,低估价值,,,9.08,,,,,16:29:15,
