code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,total_score,selection_bucket,valuation_state,selection_mode,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,6.49,100.0,100.0,79.9,0.0,81.8,0.0,0.0,0.0,80.2,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=15.22, 现价/价值=0.43, 扣非同比=57.8%, 市值=1114.1亿",-0.1300268096514745,-0.17219387755102034,1114.0867036011082,15.220276421171533,0.42640487074021566,,,,,0.5778,6.49,11.87,0.8289676425269643,0.8870238172896994
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,80.1,62.4,71.2,80.1,低估价值,深度低估,低估价值,"价值线=25.96, 现价/价值=0.61, 市值=383.0亿",-0.044242424242424305,0.030718954248365904,383.045,25.960206890574213,0.6074681941662747,,,,,,15.77,75.43,3.783132530120483,3.8560855026264393
sz.002683,广东宏大,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,30.56,8.8,8.8,90.3,87.8,55.7,45.8,80.1,63.0,80.1,高质量趋势,估值有约束的高质量,高质量趋势,"价值线=25.72, 现价/价值=1.19, 市值=232.3亿",0.03208375548801068,0.16908951798010707,232.27151925518405,25.718947658685963,1.188229021092124,,,,,,30.56,40.64,0.32984293193717296,0.37265324122448185
sh.603833,欧派家居,C21家具制造业,C21家具制造业,VALUE,基本价值线,66.4,85.8,85.8,92.5,37.4,52.5,79.6,66.9,73.3,79.6,低估价值,深度低估,低估价值,"价值线=102.24, 现价/价值=0.65, 市值=402.3亿",0.06718097074895546,0.03555832813474735,402.2694638694639,102.23655415159675,0.649474158739171,,,,,,66.4,47.52,-0.28433734939759037,-0.2361074665106747
sh.688336,三生国健,C27医药制造业,医药医疗,PE,PE低估,28.74,100.0,100.0,45.0,91.7,41.9,79.6,63.6,71.6,79.6,低估价值,价值线内/历史低位,低估价值,"PE=24.74, 低估均值=92.19, 比值=0.27, 分位=4%",-0.008965517241379395,0.2784697508896796,,,,24.743201,92.19421633333333,0.2683812714513411,0.0365296803652968,,28.74,69.56,1.420320111343076,1.4250076511327157
sz.002705,新宝股份,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,14.04,100.0,100.0,68.0,46.9,42.7,79.4,58.4,68.9,79.4,低估价值,深度低估,低估价值,"价值线=25.66, 现价/价值=0.55, 市值=114.6亿",-0.1370620774431469,-0.06149732620320869,114.57893513136479,25.660451184045584,0.547145484672124,,,,,,14.04,14.07,0.002136752136752129,0.04492540244132193
sh.601098,中南传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.14,86.4,86.4,84.0,55.5,53.5,79.3,69.6,74.4,79.3,低估价值,深度低估,低估价值,"价值线=21.91, 现价/价值=0.65, 市值=255.3亿",-0.014634146341463317,0.05917602996254678,255.2642105263158,21.91039443148688,0.6453557942197408,,,,,,14.14,11.6,-0.17963224893917973,-0.1448659176887328
sz.000893,亚钾国际,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,28.66,67.5,67.5,71.9,98.7,61.5,0.0,0.0,0.0,79.3,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=32.61, 现价/价值=0.88, 扣非同比=376.0%, 市值=261.7亿",0.14640000000000009,0.423038728897716,261.7225800249928,32.60573894736842,0.8789863663652107,,,,,3.7601999999999998,28.66,52.31,0.825191905094208,0.825191905094208
sz.002048,宁波华翔,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.0,92.0,92.0,65.2,72.3,63.9,79.2,68.8,74.0,79.2,低估价值,深度低估,低估价值,"价值线=28.05, 现价/价值=0.61, 市值=138.5亿",0.1103853690398433,0.3621794871794872,138.47008547008548,28.047658342077646,0.6061112051730988,,,,,,17.0,29.33,0.7252941176470586,0.7690080762184939
sz.000425,徐工机械,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,9.07,85.0,69.4,67.0,90.3,72.7,78.9,76.9,77.9,78.9,低估价值,深度低估,低估价值,"价值线=11.87, 现价/价值=0.76, 市值=1072.7亿",0.03185437997724705,0.2207267833109019,1072.7498039215686,11.868406923076925,0.7642137701197534,,,,,,9.07,10.52,0.15986769570011017,0.1837389758878647
sh.603799,华友钴业,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,34.46,96.7,96.7,45.0,61.7,81.7,78.8,59.0,68.9,78.8,低估价值,价值线内/历史低位,低估价值,"PB=1.59, 低估均值=3.43, 比值=0.46, 分位=10%",0.015022091310751051,0.1618341200269724,,,,1.585617,3.426135333333333,0.4628004575806794,0.10244897959183673,,34.46,62.8,0.8224027858386533,0.8491545040487263
sh.603129,春风动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,167.5,75.0,51.4,100.0,45.0,66.0,78.6,74.4,76.5,78.6,低估价值,价值线内/历史低位,低估价值,"价值线=188.09, 现价/价值=0.89, 市值=253.1亿",-0.12441191845269217,-0.14836282285946722,253.14168377823407,188.09390402173915,0.8905126451128422,,,,,,167.5,263.58,0.5736119402985074,0.6080055714666066
