code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sz.300181,佐力药业,C27医药制造业,医药医疗,PE,PE低估,15.81,100.0,100.0,94.0,34.8,61.4,88.1,68.7,78.4,"PE=20.29, 低估均值=48.06, 比值=0.42, 分位=4%",-0.04239854633555429,0.06752194463200545,,,,,,,,20.290523,48.06083728571429,0.422184134649506,0.035510204081632656,低估价值,价值线内/历史低位,88.1,低估价值,,15.81,14.57,15.24705333,14.57,-0.07843137254901966,-0.04440551989595487
sh.601058,赛轮轮胎,C29橡胶和塑料制品业,C29橡胶和塑料制品业,VALUE,基本价值线,12.61,95.4,95.4,80.0,25.0,70.7,87.6,60.1,70.7,"Q1价值线=21.67, 现价/价值=0.58, akshare东方财富扣非净利润同比=26.9%, 市值=406.0亿",-0.129744651483782,-0.14682002706359942,405.99596575400244,21.667090547209266,0.5819886141392516,1.24,1.24,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.6,价值线左侧确认,0.26885169181857,12.61,12.58,12.25342703,12.58,-0.0023790642347343294,0.026651561983472405
sh.601677,明泰铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,12.12,100.0,100.0,78.1,31.4,52.3,87.6,51.7,60.6,"Q1价值线=30.58, 现价/价值=0.40, akshare东方财富扣非净利润同比=37.7%, 市值=144.8亿",-0.05312500000000009,0.006644518272425293,144.82764665092563,30.578383892949688,0.39635842242122055,1.21,1.21,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.6,价值线左侧确认,0.37744236078047,12.12,16.95,11.91901404,16.95,0.39851485148514865,0.4220974942319977
sh.605499,东鹏饮料,C15酒、饮料和精制茶制造业,消费,PE,PE低估,280.25,35.9,35.9,93.6,92.3,74.5,59.9,87.4,73.6,"PE=40.01, 低估均值=33.96, 比值=1.18, 分位=27%",0.09729835552075183,0.21058315334773225,,,,,,,,40.005524,33.9578274,1.1780943323835849,0.2693920335429769,高质量趋势,估值有约束的高质量,87.4,高质量趋势,,280.25,142.2,210.91250675,142.2,-0.49259589652096347,-0.32578678148966633
sz.002001,新和成,C27医药制造业,医药医疗,PE,PE低估,21.98,94.8,94.8,100.0,32.3,67.8,87.2,71.2,79.2,"PE=9.82, 低估均值=14.89, 比值=0.66, 分位=2%",-0.00226963231956423,-0.01302200269420739,,,,,,,,9.820533,14.889518454545454,0.6595601483002963,0.02326530612244898,低估价值,价值线内/历史低位,87.2,低估价值,,21.98,31.74,21.3120278,31.74,0.4440400363967243,0.4892998591152362
sz.000975,山金国际,B09有色金属矿采选业,资源金属,PB,PB低估,20.61,0.0,0.0,95.4,91.6,78.7,40.9,86.8,63.9,"PB=4.18, 低估均值=2.61, 比值=1.60, 分位=82%",0.11707317073170742,0.18108882521489966,,,,,,,,4.182739,2.610234363636364,1.6024381022142977,0.816734693877551,高质量趋势,估值有约束的高质量,86.8,高质量趋势,,20.61,24.4,19.88910342,24.4,0.18389131489568178,0.22680240957789732
sz.002251,步步高,F52零售业,F52零售业,PE,PE低估,5.74,100.0,100.0,61.3,85.0,79.2,86.8,74.2,80.5,"PE=11.78, 低估均值=40.87, 比值=0.29, 分位=1%",0.4568527918781726,0.413793103448276,,,,,,,,11.776461,40.873071374999995,0.288122732249651,0.01406926406926407,低估价值,价值线内/历史低位,86.8,低估价值,,5.74,3.83,5.74,3.83,-0.33275261324041816,-0.33275261324041816
sz.000338,潍柴动力,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,15.51,92.4,92.4,81.3,57.5,73.9,86.6,72.4,78.0,"Q1价值线=25.70, 现价/价值=0.60, akshare东方财富扣非净利润同比=30.3%, 市值=1349.4亿",-0.02941176470588236,0.11023622047244097,1349.4251947627636,25.70003374510728,0.6035011531046243,1.21,1.21,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.6,价值线左侧确认,0.30291413521399,15.51,33.3,14.79674163,33.3,1.1470019342359765,1.250495469386661
sh.603998,方盛制药,C27医药制造业,医药医疗,PE,PE低估,9.81,98.1,98.1,87.8,58.5,44.0,86.2,71.5,78.8,"PE=15.76, 低估均值=37.89, 比值=0.42, 分位=8%",-0.029673590504450953,0.03154574132492116,,,,,,,,15.761873,37.894039,0.41594597503844866,0.07918367346938776,低估价值,价值线内/历史低位,86.2,低估价值,,9.81,10.54,9.37514232,10.54,0.07441386340468892,0.12424959965834415
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,7.79,100.0,100.0,70.5,48.1,63.7,86.0,63.1,72.7,"Q1价值线=41.78, 现价/价值=0.19, akshare东方财富扣非净利润同比=418.7%, 市值=433.6亿",-0.08995327102803741,-0.037082818294190356,433.5642606451613,41.77737334323361,0.1864645710490004,0.62,0.62,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.0,价值线左侧确认,4.18667311987639,7.79,11.53,7.62630094,11.53,0.4801026957637997,0.5118731991711829
