bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,ret_count,mean_return,median_return,win_rate,min_return,max_return,names,codes
all,value,,,,,0.2,1.5,0.8,,,60.0,train,20,17,0.7864668128879557,0.4119371018372113,0.7647058823529411,-0.220486111111111,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、英科医疗,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300677"
all,value,,,,,0.2,1.5,0.8,,,60.0,validate,20,20,0.22387486768105253,0.149018678770033,0.9,-0.107910906298003,1.0250673854447436,佰维存储、锐科激光、南亚新材、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路,"sh.688525,sz.300747,sh.688519,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739"
all,value,,,,,0.2,1.5,0.8,,70.0,,train,20,17,0.7282991540210808,0.2307336015602865,0.7058823529411765,-0.3933674226045848,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、新强联,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300850"
all,value,,,,,0.2,1.5,0.8,,70.0,,validate,20,20,0.22387486768105253,0.149018678770033,0.9,-0.107910906298003,1.0250673854447436,佰维存储、锐科激光、南亚新材、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路,"sh.688525,sz.300747,sh.688519,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739"
all,value,,,,,0.2,1.5,0.8,,70.0,60.0,train,20,17,0.7614576751622081,0.3939874840417952,0.7058823529411765,-0.1820199778024418,5.046035995587445,仕佳光子、仕佳光子、成都先导、伟测科技、捷佳伟创、运达股份、微导纳米、中科电气,"sh.688313,sh.688313,sh.688222,sh.688372,sz.300724,sz.300772,sh.688147,sz.300035"
all,value,,,,,0.2,1.5,0.8,,70.0,60.0,validate,20,20,0.22387486768105253,0.149018678770033,0.9,-0.107910906298003,1.0250673854447436,佰维存储、锐科激光、南亚新材、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路,"sh.688525,sz.300747,sh.688519,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739"
all,value,,,-0.2,0.2,,,,,,,train,20,19,1.0284267639906204,0.2067290200281777,0.7894736842105263,-0.1766004415011037,8.006598302796267,华策影视、长川科技、锦浪科技、新强联、英科医疗、捷佳伟创、阳光电源、新易盛,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300677,sz.300724,sz.300274,sz.300502"
all,value,,,-0.2,0.2,,,,,,,validate,20,20,0.04634160312196022,-0.0741144465615925,0.3,-0.2249388753056235,0.8818736019291902,欧科亿、碧水源、赢合科技、中国通号、立中集团、铁建重工、节能环境、阿特斯,"sh.688308,sz.300070,sz.300457,sh.688009,sz.300428,sh.688425,sz.300140,sh.688472"
all,value,,,-0.2,0.2,,,,,,60.0,train,20,19,1.7826893288107186,0.4267942583732058,0.8421052631578947,-0.3776825353147141,11.135201247611098,华策影视、长川科技、锦浪科技、新强联、捷佳伟创、阳光电源、新易盛、中科电气,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300724,sz.300274,sz.300502,sz.300035"
all,value,,,-0.2,0.2,,,,,,60.0,validate,20,20,0.15316829524884218,-0.04763905979080535,0.45,-0.2249388753056235,1.2831240868514202,欧科亿、赢合科技、阿特斯、寒锐钴业、道氏技术、新强联、时代电气、华锐精密,"sh.688308,sz.300457,sh.688472,sz.300618,sz.300409,sz.300850,sh.688187,sh.688059"
all,value,,,-0.2,0.2,,,,,70.0,,train,20,19,1.4789184234222996,0.2307336015602865,0.8421052631578947,-0.3776825353147141,11.135201247611098,华策影视、长川科技、锦浪科技、新强联、英科医疗、捷佳伟创、阳光电源、新易盛,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300677,sz.300724,sz.300274,sz.300502"
all,value,,,-0.2,0.2,,,,,70.0,,validate,20,20,0.11472199114615145,0.03747328335584825,0.5,-0.2249388753056235,0.8818736019291902,欧科亿、赢合科技、立中集团、寒锐钴业、新强联、时代电气、华锐精密、当升科技,"sh.688308,sz.300457,sz.300428,sz.300618,sz.300850,sh.688187,sh.688059,sz.300073"
