code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120
sz.301183,东田微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,247.9,50.0,0.0,76.9,100.0,92.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=33.0%/52.9%, 相对60日=51.9%, 量能20/120=1.41, 市值=199.0亿",0.33007833458525604,0.5291142363681223,199.02500230985092,28.121919049519274,8.815187881149871,1.14,1.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,247.9,247.9,247.9,247.9,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.301970904040995,0.5191430687912382,1.4111857414349875
sz.301389,隆扬电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,72.14,50.0,0.0,28.0,100.0,77.7,0.0,94.9,0.0,"半导体/电子右侧动量, 20/60日涨幅=25.5%/43.9%, 相对60日=42.9%, 量能20/120=1.78, 市值=206.4亿",0.2550452331245652,0.43905844803510874,206.39306362368126,10.383247731940552,6.947729830049771,0.32,0.32,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.9,主题右侧动量,72.14,72.14,72.14,72.14,2026-05-19,2026-05-19,0.0,0.0,,94.9,0.22693780258030416,0.42908728045822464,1.7798474118798042
sh.688035,德邦科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,86.84,50.0,0.0,56.7,100.0,73.8,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=38.1%/68.6%, 相对60日=67.6%, 量能20/120=1.85, 市值=121.9亿",0.3812629234929221,0.68555900621118,121.90500755240565,25.31609675476367,3.4302286344224657,0.71,0.71,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,86.84,86.84,86.84,86.84,2026-05-19,2026-05-19,0.0,0.0,,94.8,0.3531554929486611,0.675587838634296,1.8532583569771144
sz.001267,汇绿生态,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,63.85,50.0,0.0,22.5,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=53.7%/142.8%, 相对60日=141.8%, 量能20/120=1.92, 市值=497.1亿",0.5370727010110736,1.4277566539923954,497.128334563,2.694657631034256,23.69503244666124,0.08,0.08,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,63.85,63.85,63.85,63.85,2026-05-19,2026-05-19,0.0,0.0,,94.8,0.5089652704668126,1.4177854864155113,1.922965961934719
sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,230.89,50.0,0.0,91.8,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=117.4%/225.7%, 相对60日=224.7%, 量能20/120=2.40, 市值=1806.5亿",1.1739007626400526,2.2570179150797007,1806.4899438382172,31.681930440642184,7.28775036081166,1.17,1.17,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,230.89,230.89,230.89,230.89,2026-05-19,2026-05-19,0.0,0.0,,94.8,1.1457933320957916,2.2470467475028166,2.4019456784198776
sz.002384,东山精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,222.08,50.0,0.0,68.8,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=48.5%/188.3%, 相对60日=187.3%, 量能20/120=2.29, 市值=3900.5亿",0.48498829822801737,1.8830325847072569,3900.512443625658,27.04388735579593,8.211837191830515,0.55,0.55,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,222.08,222.08,222.08,222.08,2026-05-19,2026-05-19,0.0,0.0,,94.8,0.45688086768375635,1.8730614171303728,2.290031320380729
sz.301511,德福科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,100.39,50.0,0.0,50.8,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=109.5%/244.5%, 相对60日=243.5%, 量能20/120=2.23, 市值=644.3亿",1.094949916527546,2.445092656142759,644.2717550017385,39.412696343529795,2.547148744277187,0.13,0.13,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,100.39,100.39,100.39,100.39,2026-05-19,2026-05-19,0.0,0.0,,94.8,1.066842485983285,2.435121488565875,2.2347401896611725
sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,37.49,100.0,100.0,84.2,62.5,100.0,94.5,79.8,85.7,"2026Q1价值线=69.79, 现价/价值=0.54, akshare东方财富扣非净利润同比=326.7%, 市值=1963.0亿",0.14578239608801957,0.07729885057471275,1962.968902,69.7945184519458,0.5371482006257013,1.17,1.17,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,94.5,价值线左侧确认,37.49,37.49,37.49,37.49,2026-05-19,2026-05-19,0.0,0.0,3.26690290617195,,,,
sh.688313,仕佳光子,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,173.31,50.0,0.0,55.9,85.0,100.0,0.0,94.5,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=50.8%/100.6%, 相对60日=99.6%, 量能20/120=1.76, 市值=783.3亿",0.5084863782748716,1.0059027777777776,783.3322953936815,13.213931562237857,13.115702861310183,0.8206,0.8206,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.5,主题右侧动量,173.31,173.31,173.31,173.31,2026-05-19,2026-05-19,0.0,0.0,,94.5,0.48037894773061063,0.9959316102008935,1.7630398753004324
sz.300408,三环集团,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,96.54,50.0,0.0,92.0,85.0,98.3,0.0,94.4,0.0,"半导体/电子右侧动量, 20/60日涨幅=48.4%/70.1%, 相对60日=69.1%, 量能20/120=1.81, 市值=1839.9亿",0.48363301060396524,0.7011453744493392,1839.9397876853643,30.663331503700636,3.1483858819564006,1.18,1.18,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.4,主题右侧动量,96.54,96.54,96.54,96.54,2026-05-19,2026-05-19,0.0,0.0,,94.4,0.4555255800597042,0.6911742068724551,1.8119771335421606
