code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,theme_momentum_score,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,earnings_yoy
sz.301389,隆扬电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,74.55,50.0,0.0,54.2,100.0,84.8,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=44.1%/229.0%, 相对60日=215.0%, 量能20/120=2.41, 市值=213.8亿",0.441415313225058,2.289938217122683,213.8042142743889,12.389038287521831,6.017416224719099,0.27,0.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,74.55,73.82,74.2216818,73.82,-0.009792085848423948,-0.005411919943856702,
sz.301486,致尚科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,104.13,50.0,0.0,32.8,100.0,80.2,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=43.4%/60.5%, 相对60日=46.6%, 量能20/120=1.88, 市值=132.6亿",0.434297520661157,0.6054579093432007,132.6086903739,23.163991582867418,4.495339226293657,0.51,0.51,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,104.13,272.06,104.13,272.06,1.6126956688754444,1.6126956688754444,
sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,55.62,50.0,0.0,84.3,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=68.7%/172.2%, 相对60日=158.3%, 量能20/120=2.76, 市值=11036.3亿",0.6869881710646042,1.7224669603524227,11036.25992135593,23.77178361423712,2.339748708072907,1.18,1.18,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,55.62,68.98,55.31803902,68.98,0.2402013664149587,0.24697117291270176,
sh.688008,澜起科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,124.22,50.0,0.0,82.5,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=47.6%/48.1%, 相对60日=34.1%, 量能20/120=2.13, 市值=1409.7亿",0.47599809885931554,0.4807485993562999,1409.6603031038214,32.63913989597449,3.805860093002038,1.1,1.1,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,124.22,247.99,124.04124742,247.99,0.9963773949444534,0.9992543219136871,
sh.688041,海光信息,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,208.96,50.0,0.0,72.3,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=46.6%/53.5%, 相对60日=39.5%, 量能20/120=2.39, 市值=4864.4亿",0.46556319259363166,0.535003305663704,4864.4217657344,19.480849869583466,10.726431413357426,0.78,0.78,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,208.96,303.63,208.8899984,303.63,0.45305321592649306,0.45354015187737207,
sz.000988,华工科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,75.26,50.0,0.0,80.7,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=50.3%/66.8%, 相对60日=52.8%, 量能20/120=2.36, 市值=758.9亿",0.5033959248901319,0.6683662159166484,758.8820152661888,23.165111104406133,3.248851242750359,0.89,0.89,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,75.26,147.38,75.26,147.38,0.9582779697050223,0.9582779697050223,
sz.002104,恒宝股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,28.83,50.0,0.0,22.5,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=54.3%/137.9%, 相对60日=123.9%, 量能20/120=2.11, 市值=202.7亿",0.5433618843683083,1.3787128712871288,202.70729101705058,3.487997357512455,8.26548791325942,0.0929,0.0929,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,28.83,13.68,28.83,13.68,-0.5254942767950053,-0.5254942767950053,
sz.002241,歌尔股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,35.68,50.0,0.0,37.8,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=56.3%/60.8%, 相对60日=46.8%, 量能20/120=2.20, 市值=1202.7亿",0.5628558913710031,0.60793150067598,1202.6703715897465,15.902411096929452,2.2436849218977457,0.71,0.71,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,35.68,25.81,35.4985672,25.81,-0.2766255605381166,-0.27292840145953834,
sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,74.19,50.0,0.0,82.8,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=48.6%/66.9%, 相对60日=52.9%, 量能20/120=2.26, 市值=576.8亿",0.4864756561811261,0.6686909581646423,576.7655838581926,25.710361498696834,2.8856070344930944,0.81,0.81,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,74.19,209.9,74.19,209.9,1.8292222671519074,1.8292222671519074,
sz.002402,和而泰,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,40.0,50.0,0.0,64.4,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=55.4%/108.4%, 相对60日=94.4%, 量能20/120=2.67, 市值=363.6亿",0.5540015540015542,1.0844189682126104,363.6168094605368,12.846250774607693,3.113748960830289,0.3763,0.3763,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,40.0,31.68,40.0,31.68,-0.20799999999999996,-0.20799999999999996,
sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,15.67,50.0,0.0,34.8,85.0,100.0,0.0,94.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=71.3%/84.8%, 相对60日=70.8%, 量能20/120=3.20, 市值=1107.8亿",0.7125683060109289,0.8478773584905659,1107.8450571188826,5.335178602123694,2.937108795900943,0.23,0.23,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,15.67,17.07,15.64939395,17.07,0.0893426930440333,0.09077706488435622,
sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,406.1,50.0,0.0,100.0,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=94.8%/274.1%, 相对60日=260.1%, 量能20/120=1.89, 市值=4455.1亿",0.9484694367143272,2.741133118378628,4455.10716229344,99.26331302529343,4.091138887299894,4.62,4.62,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,406.1,1045.0,405.2041434,1045.0,1.5732578182713617,1.5789469752988707,
sz.300394,天孚通信,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,222.16,50.0,0.0,91.4,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=112.7%/216.5%, 相对60日=202.5%, 量能20/120=2.08, 市值=1230.5亿",1.1267470802220947,2.1646723646723647,1230.5141259090503,38.119911367620595,5.8279254077359885,2.3723,2.3723,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,222.16,384.95,221.5423952,384.95,0.7327601728483975,0.7375906749246883,
sz.300502,新易盛,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,388.5,50.0,0.0,92.5,85.0,100.0,0.0,94.8,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=110.6%/285.1%, 相对60日=271.2%, 量能20/120=1.99, 市值=2755.3亿",1.105691056910569,2.8514920194309505,2755.306490698158,193.7041707659315,2.0056356993441105,3.99,3.99,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.8,主题右侧动量,94.8,388.5,599.92,388.5,599.92,0.5441956241956241,0.5441956241956241,
sh.688146,中船特气,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,43.3,50.0,0.0,36.2,100.0,73.4,0.0,94.7,0.0,"半导体/电子右侧动量, 20/60日涨幅=42.8%/49.6%, 相对60日=35.6%, 量能20/120=3.76, 市值=228.9亿",0.42762940982525555,0.49619903248099506,228.8597924371282,15.027680964036682,2.8813494313342747,0.39,0.39,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.7,主题右侧动量,94.7,43.3,135.9,43.3,135.9,2.1385681293302543,2.1385681293302543,
