date,equity,cash,cash_pct,gross_exposure_pct,capacity_position_count,total_held_symbol_count,left_side_symbol_count,right_market_left_side_symbol_count,profit_tail_count,candidate_count
2025-04-01,1.0093582994533128,483302.2994533128,47.8821,48.56,3,3,1,0,0,40
2025-04-02,1.0115702994533127,483302.2994533128,47.7774,48.56,3,3,1,0,0,37
2025-04-03,1.0087122994533129,483302.2994533128,47.9128,48.56,3,3,1,0,0,37
2025-04-07,0.9575994732033128,636649.4732033128,66.4839,31.28,2,2,1,0,0,33
2025-04-08,0.9646254732033128,636649.4732033128,65.9997,31.28,2,2,1,0,0,37
2025-04-09,0.9638994732033128,636649.4732033128,66.0494,31.28,2,2,1,0,0,37
2025-04-10,0.9728214732033128,636649.4732033128,65.4436,31.28,2,2,1,0,0,37
2025-04-11,0.9807474732033128,636649.4732033128,64.9147,31.28,2,2,1,0,0,32
2025-04-14,0.9846454732033129,636649.4732033128,64.6577,31.28,2,2,1,0,0,35
2025-04-15,0.9893414732033129,636649.4732033128,64.3508,31.28,2,2,1,0,0,36
2025-04-16,0.9856714732033128,636649.4732033128,64.5904,31.28,2,2,1,0,0,38
2025-04-17,0.9960994732033128,636649.4732033128,63.9142,31.28,2,2,1,0,0,35
2025-04-18,0.9883494732033128,636649.4732033128,64.4154,31.28,2,2,1,0,0,38
2025-04-21,0.9968015718333129,438411.57183331286,43.9818,51.09,3,3,1,0,0,35
2025-04-22,0.9897025718333129,438411.57183331286,44.2973,51.09,3,3,1,0,0,43
2025-04-23,1.000669571833313,438411.57183331286,43.8118,51.09,3,3,1,0,0,39
2025-04-24,1.0408395718333128,438411.57183331286,42.121,51.09,3,3,1,0,0,37
2025-04-25,1.0180844308833128,627276.4308833128,61.6134,31.28,2,2,1,0,0,35
2025-04-28,1.0108369274833129,539184.9274833128,53.3404,40.09,2,2,1,0,0,35
2025-04-29,1.0226209274833127,539184.9274833128,52.7258,40.09,2,2,1,0,0,34
2025-04-30,1.0048017129633127,625003.7129633127,62.2017,31.28,2,2,1,0,0,37
2025-05-06,1.0005466687833127,645720.6687833127,64.5368,31.91,2,2,1,0,0,57
2025-05-07,1.0028847238133123,684142.7238133124,68.2175,25.64,2,2,1,0,0,52
2025-05-08,1.0009657238133123,684142.7238133124,68.3483,25.64,2,2,1,0,0,52
2025-05-09,1.0037558316333122,603035.8316333123,60.0779,33.75,2,2,1,1,0,60
2025-05-12,1.0085229513005536,583210.9513005535,57.8282,35.73,2,2,1,1,0,58
2025-05-13,1.0164777043213338,604037.7043213337,59.4246,33.75,2,2,1,1,0,61
2025-05-14,1.0113097043213337,604037.7043213337,59.7283,33.75,2,2,1,1,0,58
2025-05-15,1.0138537043213336,604037.7043213337,59.5784,33.75,2,2,1,1,0,57
2025-05-16,1.0134947378413337,304774.73784133367,30.0717,63.66,3,3,1,1,0,57
2025-05-19,1.0098150708013338,599079.0708013338,59.3256,33.75,2,2,1,1,0,54
2025-05-20,1.0115190708013337,599079.0708013338,59.2257,33.75,2,2,1,1,0,60
2025-05-21,1.0082950708013338,599079.0708013338,59.4151,33.75,2,2,1,1,0,58
2025-05-22,1.0075007578013337,618367.7578013338,61.3764,31.95,2,2,1,1,0,59
2025-05-23,1.0114694304913339,321908.43049133377,31.8258,61.58,3,3,1,1,0,51
2025-05-26,1.0054892755963338,612979.2755963338,60.9633,31.95,2,2,1,1,0,55
2025-05-27,0.9950478591313338,318077.85913133377,31.9661,61.43,3,3,1,1,0,51
2025-05-28,0.9942672322613338,609583.2322613338,61.3098,31.95,2,2,1,1,0,49
2025-05-29,1.022946401761334,292546.4017613338,28.5984,63.64,3,3,1,1,0,49
2025-05-30,1.0086651719413338,234486.17194133383,23.2472,69.68,3,3,1,1,0,49
2025-06-03,1.008592356706526,606240.3567065261,60.1076,31.95,2,2,1,1,0,51
2025-06-04,1.0217135253615262,307208.5253615261,30.068,61.84,3,3,1,1,0,52
2025-06-05,1.0089912339315261,214043.23393152616,21.2136,70.98,3,3,1,1,0,51
2025-06-06,0.9967864645515261,347326.4645515261,34.8446,62.55,3,3,1,1,0,50
2025-06-09,0.992592311613459,329066.31161345885,33.1522,64.37,3,3,1,1,0,49
2025-06-10,0.9911585104534589,417266.5104534589,42.0989,55.23,3,3,1,1,0,50
2025-06-11,0.9956265104534588,417266.5104534589,41.9099,55.23,3,3,1,1,0,47
2025-06-12,1.0031816513936511,436448.65139365115,43.5064,53.41,3,3,1,1,0,49
2025-06-13,1.0051630735970114,400565.07359701145,39.8508,56.08,3,3,1,1,0,52
2025-06-16,0.9959190735970114,400565.07359701145,40.2206,56.08,3,3,1,1,0,48
2025-06-17,0.9945870735970114,400565.07359701145,40.2745,56.08,3,3,1,1,0,50
2025-06-18,1.0048110735970115,400565.07359701145,39.8647,56.08,3,3,1,1,0,52
2025-06-19,0.9895315991358881,424819.599135888,42.9314,53.36,3,3,1,1,0,55
2025-06-20,0.9820495991358881,424819.599135888,43.2585,53.36,3,3,1,1,0,54
2025-06-23,0.9850054081578207,533645.4081578207,54.1769,44.66,2,2,1,1,0,55
2025-06-24,0.9781101041478207,836822.1041478207,85.555,14.88,1,1,1,0,0,51
2025-06-25,0.9775501041478207,836822.1041478207,85.604,14.88,1,1,1,0,0,52
2025-06-26,0.9769901041478207,836822.1041478207,85.6531,14.88,1,1,1,0,0,54
2025-06-27,0.9742997983628208,545530.7983628208,55.9921,44.0,2,2,1,0,0,55
2025-06-30,0.9810657983628207,545530.7983628208,55.6059,44.0,2,2,1,0,0,59
2025-07-01,0.9817997983628207,545530.7983628208,55.5644,44.0,2,2,1,0,0,60
2025-07-02,0.9648853726078208,529209.3726078208,54.8469,44.68,2,2,1,0,0,62
2025-07-03,0.9586321222328208,820368.1222328208,85.5769,14.88,1,1,1,0,0,56
2025-07-04,0.9557761222328208,820368.1222328208,85.8327,14.88,1,1,1,0,0,58
2025-07-07,0.9543761222328209,820368.1222328208,85.9586,14.88,1,1,1,0,0,63
2025-07-08,0.9554961222328209,820368.1222328208,85.8578,14.88,1,1,1,0,0,64
2025-07-09,0.9526334505928208,521609.4505928208,54.7545,44.74,2,2,1,1,0,69
2025-07-10,0.9549054505928207,521609.4505928208,54.6242,44.74,2,2,1,1,0,66
2025-07-11,0.9547454505928208,521609.4505928208,54.6334,44.74,2,2,1,1,0,66
2025-07-14,0.9523134505928208,521609.4505928208,54.7729,44.74,2,2,1,1,0,64
2025-07-15,0.9504574505928207,521609.4505928208,54.8798,44.74,2,2,1,1,0,69
2025-07-16,0.9494174505928208,521609.4505928208,54.9399,44.74,2,2,1,1,0,69
2025-07-17,0.9502494505928207,521609.4505928208,54.8918,44.74,2,2,1,1,0,66
2025-07-18,0.9525134505928208,521609.4505928208,54.7614,44.74,2,2,1,1,0,69
2025-07-21,0.9577214505928208,521609.4505928208,54.4636,44.74,2,2,1,1,0,67
2025-07-22,0.9644574505928207,521609.4505928208,54.0832,44.74,2,2,1,1,0,70
2025-07-23,0.9658734505928208,521609.4505928208,54.0039,44.74,2,2,1,1,0,71
2025-07-24,0.9659854505928208,521609.4505928208,53.9977,44.74,2,2,1,1,0,70
2025-07-25,0.9637045016728208,831824.5016728209,86.3153,14.88,1,1,1,1,0,75
2025-07-28,0.9614605584728209,537732.5584728209,55.9287,44.28,2,2,1,1,0,73
2025-07-29,0.9763805584728209,537732.5584728209,55.0741,44.28,2,2,1,1,0,75
2025-07-30,0.9747805584728209,537732.5584728209,55.1645,44.28,2,2,1,1,0,77
2025-07-31,0.9629085584728209,537732.5584728209,55.8446,44.28,2,2,1,1,0,71
2025-08-01,0.9651485584728209,537732.5584728209,55.715,44.28,2,2,1,1,0,62
2025-08-04,0.9766685584728209,537732.5584728209,55.0578,44.28,2,2,1,1,0,62
2025-08-05,0.9794457424728209,518085.7424728209,52.8958,46.24,2,2,1,1,0,65
2025-08-06,0.987829742472821,518085.7424728209,52.4469,46.24,2,2,1,1,0,64
2025-08-07,0.987381742472821,518085.7424728209,52.4707,46.24,2,2,1,1,0,76
2025-08-08,0.9885403205736011,844732.320573601,85.4525,14.88,1,1,1,1,0,75
2025-08-11,0.9804914402408423,824907.4402408423,84.132,16.86,1,1,1,1,0,77
2025-08-12,0.9808754402408423,824907.4402408423,84.0991,16.86,1,1,1,1,0,80
2025-08-13,0.9831794402408423,824907.4402408423,83.902,16.86,1,1,1,1,0,80
2025-08-14,0.9810849815408423,526512.9815408423,53.6664,46.69,2,2,1,1,0,86
2025-08-15,0.9821809815408423,526512.9815408423,53.6065,46.69,2,2,1,1,0,81
2025-08-18,0.9854289815408424,526512.9815408423,53.4298,46.69,2,2,1,1,0,87
2025-08-19,0.9742729815408423,526512.9815408423,54.0416,46.69,2,2,1,1,0,85
2025-08-20,0.9735169564408424,520648.95644084236,53.4812,46.68,2,2,1,1,0,84
2025-08-21,0.9780169564408424,520648.95644084236,53.2352,46.68,2,2,1,1,0,88
2025-08-22,0.9762529564408423,520648.95644084236,53.3314,46.68,2,2,1,1,0,91
2025-08-25,0.9982169564408424,520648.95644084236,52.1579,46.68,2,2,1,1,0,99
2025-08-26,0.9983849564408424,520648.95644084236,52.1491,46.68,2,2,1,1,0,110
2025-08-27,0.9843169564408424,520648.95644084236,52.8944,46.68,2,2,1,1,0,113
2025-08-28,0.9947809564408424,520648.95644084236,52.3381,46.68,2,2,1,1,0,104
2025-08-29,1.0231889564408423,520648.95644084236,50.8849,46.68,2,2,1,1,0,117
2025-09-01,1.0537978333810347,561068.8333810347,53.2425,42.87,2,2,1,1,0,120
2025-09-02,1.0353095092310347,262904.50923103467,25.3938,72.67,3,3,1,1,0,133
2025-09-03,1.0260997463843948,233364.7463843949,22.7429,76.17,3,3,1,1,0,122
2025-09-04,1.006173253814395,471348.25381439494,46.8456,52.46,3,3,1,1,0,113
2025-09-05,1.075823253814395,471348.25381439494,43.8128,52.46,3,3,1,1,0,96
2025-09-08,1.0827772538143952,471348.25381439494,43.5314,52.46,3,3,1,1,0,114
2025-09-09,1.086345243775827,492603.2437758268,45.345,50.61,3,3,1,0,0,122
2025-09-10,1.0688668798008267,450290.8798008268,42.1279,55.71,3,3,1,0,0,111
2025-09-11,1.0744678798008267,450290.8798008268,41.9083,55.71,3,3,1,0,0,110
2025-09-12,1.0681430339808269,557866.0339808267,52.2277,44.75,3,3,1,0,0,121
2025-09-15,1.0662410339808268,557866.0339808267,52.3208,44.75,3,3,1,0,0,120
2025-09-16,1.0620090339808268,557866.0339808267,52.5293,44.75,3,3,1,0,0,118
2025-09-17,1.0604060339808268,557866.0339808267,52.6087,44.75,3,3,1,0,0,117
2025-09-18,1.0500999231058266,620572.9231058267,59.0966,38.82,3,3,1,0,0,118
2025-09-19,1.0550311291158267,488846.12911582674,46.3348,52.32,3,3,1,0,0,113
2025-09-22,1.0374142377808269,264789.2377808268,25.524,73.94,3,3,1,0,0,110
2025-09-23,1.0364672377808268,264789.2377808268,25.5473,73.94,3,3,1,0,0,115
2025-09-24,1.0506652377808268,264789.2377808268,25.2021,73.94,3,3,1,0,0,110
2025-09-25,1.059546237780827,264789.2377808268,24.9908,73.94,3,3,1,0,0,125
2025-09-26,1.0225926913508268,539648.6913508268,52.7726,44.1,2,2,1,0,0,120
2025-09-29,1.0469026913508268,539648.6913508268,51.5472,44.1,2,2,1,0,0,116
2025-09-30,1.067261263070827,241306.26307082677,22.6099,73.92,3,3,1,0,0,118
2025-10-09,1.1159916740708267,263867.6740708268,23.6442,72.06,3,3,1,0,0,130
2025-10-10,1.0656176435308269,361485.6435308268,33.9226,64.01,3,3,1,0,0,130
2025-10-13,1.0623127143558269,369986.7143558268,34.8284,64.61,3,3,1,0,0,124
2025-10-14,1.0471048485934018,685082.8485934018,65.4264,32.94,1,2,1,0,0,108
2025-10-15,1.0231607272984018,860119.7272984018,84.065,15.33,1,2,1,0,0,97
2025-10-16,1.0203990490384018,955572.0490384018,93.6469,5.57,0,1,1,1,0,106
2025-10-17,1.0201260490384019,955572.0490384018,93.672,5.57,0,1,1,1,0,98
2025-10-20,1.0157160490384018,955572.0490384018,94.0787,5.57,0,1,1,1,0,76
2025-10-21,1.0167606667384017,659018.6667384017,64.8155,35.21,1,2,1,1,0,77
2025-10-22,1.0085663874384019,949283.3874384018,94.1221,5.57,0,1,1,1,0,86
2025-10-23,1.0092173874384018,949283.3874384018,94.0613,5.57,0,1,1,1,0,81
2025-10-24,1.009252216793402,649671.2167934019,64.3715,35.51,1,2,1,1,0,80
2025-10-27,1.0180822167934018,649671.2167934019,63.8132,35.51,1,2,1,1,0,83
2025-10-28,1.0119372167934018,649671.2167934019,64.2007,35.51,1,2,1,1,0,93
2025-10-29,1.026556216793402,649671.2167934019,63.2865,35.51,1,2,1,1,0,90
2025-10-30,1.0161802167934018,649671.2167934019,63.9327,35.51,1,2,1,1,0,94
2025-10-31,1.0065449681934018,944510.9681934018,93.8369,5.57,0,1,1,1,0,86
2025-11-03,1.0068179681934017,944510.9681934018,93.8115,5.57,0,1,1,1,0,63
2025-11-04,1.0040039681934019,944510.9681934018,94.0744,5.57,0,1,1,1,0,62
2025-11-05,1.0080548411934018,886212.8411934017,87.9132,11.39,1,1,1,1,0,56
2025-11-06,1.0099028411934017,886212.8411934017,87.7523,11.39,1,1,1,1,0,55
2025-11-07,1.0096088411934017,886212.8411934017,87.7778,11.39,1,1,1,1,0,60
2025-11-10,1.0148128311548335,907467.8311548335,89.4222,9.45,1,1,1,1,0,55
2025-11-11,1.0135878311548336,907467.8311548335,89.5303,9.45,1,1,1,1,0,58
2025-11-12,1.0132728311548336,907467.8311548335,89.5581,9.45,1,1,1,1,0,61
2025-11-13,1.0164230068298334,608448.0068298335,59.8617,39.34,2,2,1,1,0,57
2025-11-14,1.0096656301998335,903405.6301998335,89.4757,9.45,1,1,1,1,0,59
2025-11-17,1.0126855127798335,620988.5127798335,61.321,37.68,2,2,1,1,0,60
2025-11-18,0.9764150932678335,874740.0932678335,89.5869,9.45,1,1,1,1,0,58
2025-11-19,0.9835550932678334,874740.0932678335,88.9366,9.45,1,1,1,1,0,52
2025-11-20,0.9821550932678335,874740.0932678335,89.0633,9.45,1,1,1,1,0,52
2025-11-21,0.9797400932678335,874740.0932678335,89.2829,9.45,1,1,1,1,0,48
2025-11-24,0.9780600932678335,874740.0932678335,89.4362,9.45,1,1,1,1,0,43
2025-11-25,0.9811750932678335,874740.0932678335,89.1523,9.45,1,1,1,1,0,41
2025-11-26,0.9813850932678335,874740.0932678335,89.1332,9.45,1,1,1,0,0,41
2025-11-27,0.9826100932678334,874740.0932678335,89.0221,9.45,1,1,1,0,0,39
2025-11-28,0.9859020827273369,897058.0827273369,90.9886,7.51,1,1,1,0,0,40
2025-12-01,0.9864620827273369,897058.0827273369,90.9369,7.51,1,1,1,0,0,41
2025-12-02,0.9848100827273369,897058.0827273369,91.0894,7.51,1,1,1,0,0,42
2025-12-03,0.9827940827273369,897058.0827273369,91.2763,7.51,1,1,1,0,0,41
2025-12-04,0.9813940827273369,897058.0827273369,91.4065,7.51,1,1,1,0,0,41
2025-12-05,0.9832420827273369,897058.0827273369,91.2347,7.51,1,1,1,0,0,41
2025-12-08,0.9822342707973369,610032.2707973369,62.1066,36.2,2,2,1,0,0,44
2025-12-09,0.9782941734573369,895526.173457337,91.5396,7.51,1,1,1,0,0,45
2025-12-10,0.9797221734573369,895526.173457337,91.4061,7.51,1,1,1,0,0,46
2025-12-11,0.980366173457337,895526.173457337,91.3461,7.51,1,1,1,0,0,48
2025-12-12,0.981982729617337,595446.729617337,60.6372,37.5,2,2,1,0,0,45
2025-12-15,0.983342729617337,595446.729617337,60.5533,37.5,2,2,1,0,0,50
2025-12-16,0.967859499537337,881983.499537337,91.1272,7.51,1,1,1,0,0,51
2025-12-17,0.9708274995373369,881983.499537337,90.8486,7.51,1,1,1,0,0,51
2025-12-18,0.971555499537337,881983.499537337,90.7806,7.51,1,1,1,0,0,53
2025-12-19,0.970687499537337,881983.499537337,90.8617,7.51,1,1,1,0,0,50
2025-12-22,0.973879499537337,881983.499537337,90.5639,7.51,1,1,1,0,0,56
2025-12-23,0.9748272279273369,707493.2279273369,72.5763,25.36,1,2,1,0,0,61
2025-12-24,0.971626144777337,903670.144777337,93.006,5.57,0,1,1,0,0,59
2025-12-25,0.969862144777337,903670.144777337,93.1751,5.57,0,1,1,0,0,62
2025-12-26,0.970870144777337,903670.144777337,93.0784,5.57,0,1,1,1,0,55
