序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
138,2025-02-06,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价100.17，成交金额10,017.00元，现金-10,027.01元，交易后持股800股",建仓成本10.01元,100.17,100,10017.0,10.01,L8；价值线网格第8份；开盘已触发成交,-10.01,,800,持有800股,-10027.01,,,,,
139,2025-02-06,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价100.17，成交金额10,017.00元，现金-10,027.01元，交易后持股900股",建仓成本10.01元,100.17,100,10017.0,10.01,L9；价值线网格第9份；开盘已触发成交,-10.01,,900,持有900股,-10027.01,,,,,
140,2025-02-07,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价106.359，成交金额10,635.92元，现金+10,620.29元，本次盈利+593.28元，收益率+5.92%，剩余800股",盈利593.28元 (+5.92%),106.359,100,10635.92,15.64,L9；上一格卖出；盘中触及结构位成交,593.28,5.9168,800,持有800股,10620.29,,,,,
141,2025-02-10,安克创新,sz.300866,卖出,"卖出安克创新(sz.300866) 2700股，成交价103.76，成交金额280,152.00元，现金+279,848.04元，本次亏损-15,704.76元，收益率-5.31%，清仓","亏损-15,704.76元 (-5.31%)",103.76,2700,280152.0,303.96,收盘条件止损；14:55收盘代理价成交,-15704.76,-5.3137,0,清仓,279848.04,,,,,
142,2025-02-11,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价111.957，成交金额11,195.71元，现金+11,179.51元，本次盈利+1,152.50元，收益率+11.49%，剩余700股","盈利1,152.50元 (+11.49%)",111.957,100,11195.71,16.2,L8；上一格卖出；盘中触及结构位成交,1152.5,11.494,700,持有700股,11179.51,,,,,
143,2025-02-18,电连技术,sz.300679,卖出,"卖出电连技术(sz.300679) 1100股，成交价62.14，成交金额68,354.00元，现金+68,279.84元，本次盈利+10,231.90元，收益率+17.63%，剩余2300股","盈利10,231.90元 (+17.63%)",62.14,1100,68354.0,74.16,止盈条件=trailing_10；14:55收盘代理价成交,10231.9,17.6266,2300,持有2300股,68279.84,,,,,
144,2025-02-18,深南电路,sz.002916,买入,"买入深南电路(sz.002916) 2600股，成交价112.33，成交金额292,058.00元，现金-292,228.85元，交易后持股2600股",建仓成本170.85元,112.33,2600,292058.0,170.85,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-170.85,,2600,持有2600股,-292228.85,基本面硬条件通过且多周期强度居前；20日强度+17.3%；60日强度+35.3%；120日强度+36.4%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.37倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.37倍；多周期均量扣低走高,,,
145,2025-02-19,深南电路,sz.002916,卖出,"卖出深南电路(sz.002916) 2600股，成交价111.54，成交金额290,004.00元，现金+289,689.35元，本次亏损-2,539.51元，收益率-0.87%，清仓","亏损-2,539.51元 (-0.87%)",111.54,2600,290004.0,314.65,收盘条件止损；14:55收盘代理价成交,-2539.51,-0.869,0,清仓,289689.35,,,,,
146,2025-02-19,峰岹科技,sh.688279,买入,"买入峰岹科技(sh.688279) 1200股，成交价239.1，成交金额286,920.00元，现金-287,087.85元，交易后持股1200股",建仓成本167.85元,239.1,1200,286920.0,167.85,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-167.85,,1200,持有1200股,-287087.85,基本面硬条件通过且多周期强度居前；20日强度+27.8%；60日强度+62.4%；120日强度+131.6%；距120日高点-6.1%；MA20/MA60同步上扬；收盘站上MA20,MA20/MA60同步上扬；收盘站上MA20,,,
147,2025-02-21,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价117.85，成交金额11,784.96元，现金+11,768.17元，本次盈利+1,741.16元，收益率+17.36%，剩余600股","盈利1,741.16元 (+17.36%)",117.85,100,11784.96,16.78,L7；上一格卖出；盘中触及结构位成交,1741.16,17.3647,600,持有600股,11768.17,,,,,
148,2025-02-28,峰岹科技,sh.688279,卖出,"卖出峰岹科技(sh.688279) 400股，成交价244.21，成交金额97,684.00元，现金+97,578.01元，本次盈利+1,882.06元，收益率+1.97%，剩余800股","盈利1,882.06元 (+1.97%)",244.21,400,97684.0,105.99,"止盈条件=profit_floor,trailing_10；14:55收盘代理价成交",1882.06,1.9667,800,持有800股,97578.01,,,,,
149,2025-02-28,峰岹科技,sh.688279,买入,"买入峰岹科技(sh.688279) 200股，成交价257.82，成交金额51,564.00元，现金-51,594.78元，交易后持股1000股",建仓成本30.78元,257.82,200,51564.0,30.78,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA10；盘中触及结构位成交,-30.78,,1000,持有1000股,-51594.78,基本面硬条件通过且多周期强度居前；20日强度+30.0%；60日强度+108.2%；120日强度+165.9%；距120日高点-8.4%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.75,144.6 / 295.56,2025-01-06 → 2025-02-21
150,2025-03-03,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价101.81，成交金额10,181.00元，现金-10,191.09元，交易后持股700股",建仓成本10.09元,101.81,100,10181.0,10.09,L7；价值线网格第7份；开盘已触发成交,-10.09,,700,持有700股,-10191.09,,,,,
151,2025-03-03,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价101.81，成交金额10,181.00元，现金-10,191.09元，交易后持股800股",建仓成本10.09元,101.81,100,10181.0,10.09,L8；价值线网格第8份；开盘已触发成交,-10.09,,800,持有800股,-10191.09,,,,,
152,2025-03-03,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价101.041，成交金额10,104.13元，现金-10,114.18元，交易后持股900股",建仓成本10.05元,101.041,100,10104.13,10.05,L9；价值线网格第9份；盘中触及结构位成交,-10.05,,900,持有900股,-10114.18,,,,,
153,2025-03-03,峰岹科技,sh.688279,卖出,"卖出峰岹科技(sh.688279) 200股，成交价247.17，成交金额49,434.00元，现金+49,379.57元，本次亏损-2,215.22元，收益率-4.29%，剩余800股","亏损-2,215.22元 (-4.29%)",247.17,200,49434.0,54.43,收盘条件止损；14:55收盘代理价成交,-2215.22,-4.2935,800,持有800股,49379.57,,,,,
154,2025-03-03,峰岹科技,sh.688279,卖出,"卖出峰岹科技(sh.688279) 200股，成交价247.17，成交金额49,434.00元，现金+49,379.57元，本次盈利+1,531.59元，收益率+3.20%，剩余600股","盈利1,531.59元 (+3.20%)",247.17,200,49434.0,54.43,止盈条件=volume_node_break:2025-02-21；14:55收盘代理价成交,1531.59,3.201,600,持有600股,49379.57,,,,,
155,2025-03-12,电连技术,sz.300679,卖出,"卖出电连技术(sz.300679) 2300股，成交价59.1，成交金额135,930.00元，现金+135,782.52元，本次盈利+14,409.55元，收益率+11.87%，清仓","盈利14,409.55元 (+11.87%)",59.1,2300,135930.0,147.48,低效率仓次日开盘退出,14409.55,11.8721,0,清仓,135782.52,,,,,
156,2025-03-17,峰岹科技,sh.688279,买入,"买入峰岹科技(sh.688279) 200股，成交价261.567，成交金额52,313.50元，现金-52,344.66元，交易后持股800股",建仓成本31.16元,261.567,200,52313.5,31.16,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA20；盘中触及结构位成交,-31.16,,800,持有800股,-52344.66,基本面硬条件通过且多周期强度居前；20日强度+21.5%；60日强度+68.0%；120日强度+153.3%；距120日高点-10.3%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.31倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.31倍；多周期均量扣低走高,0.75,110.63 / 311.88,2023-12-07 → 2025-03-06
157,2025-03-18,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价106.359，成交金额10,635.92元，现金+10,620.29元，本次盈利+506.11元，收益率+5.00%，剩余800股",盈利506.11元 (+5.00%),106.359,100,10635.92,15.64,L9；上一格卖出；盘中触及结构位成交,506.11,5.0039,800,持有800股,10620.29,,,,,
158,2025-03-18,峰岹科技,sh.688279,卖出,"卖出峰岹科技(sh.688279) 200股，成交价259.9，成交金额51,980.00元，现金+51,923.02元，本次亏损-421.64元，收益率-0.81%，剩余600股",亏损-421.64元 (-0.81%),259.9,200,51980.0,56.98,收盘条件止损；14:55收盘代理价成交,-421.64,-0.8055,600,持有600股,51923.02,,,,,
159,2025-03-18,峰岹科技,sh.688279,卖出,"卖出峰岹科技(sh.688279) 200股，成交价259.9，成交金额51,980.00元，现金+51,923.02元，本次盈利+4,075.05元，收益率+8.52%，剩余400股","盈利4,075.05元 (+8.52%)",259.9,200,51980.0,56.98,止盈条件=rising_ma20_break_3pct；14:55收盘代理价成交,4075.05,8.5167,400,持有400股,51923.02,,,,,
160,2025-03-19,峰岹科技,sh.688279,卖出,"卖出峰岹科技(sh.688279) 400股，成交价260.29，成交金额104,116.00元，现金+104,003.03元，本次盈利+8,307.08元，收益率+8.68%，清仓","盈利8,307.08元 (+8.68%)",260.29,400,104116.0,112.97,止盈条件=maximum_profit_half；14:55收盘代理价成交,8307.08,8.6807,0,清仓,104003.03,,,,,
161,2025-03-24,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价101.041，成交金额10,104.13元，现金-10,114.18元，交易后持股900股",建仓成本10.05元,101.041,100,10104.13,10.05,L9；价值线网格第9份；盘中触及结构位成交,-10.05,,900,持有900股,-10114.18,,,,,
162,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股400股",建仓成本13.42元,42.08,400,16832.0,13.42,L1；价值线网格第1份；开盘已触发成交,-13.42,,400,持有400股,-16845.42,,,,,
163,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股800股",建仓成本13.42元,42.08,400,16832.0,13.42,L2；价值线网格第2份；开盘已触发成交,-13.42,,800,持有800股,-16845.42,,,,,
164,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股1200股",建仓成本13.42元,42.08,400,16832.0,13.42,L3；价值线网格第3份；开盘已触发成交,-13.42,,1200,持有1200股,-16845.42,,,,,
165,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股1600股",建仓成本13.42元,42.08,400,16832.0,13.42,L4；价值线网格第4份；开盘已触发成交,-13.42,,1600,持有1600股,-16845.42,,,,,
166,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股2000股",建仓成本13.42元,42.08,400,16832.0,13.42,L5；价值线网格第5份；开盘已触发成交,-13.42,,2000,持有2000股,-16845.42,,,,,
167,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股2400股",建仓成本13.42元,42.08,400,16832.0,13.42,L6；价值线网格第6份；开盘已触发成交,-13.42,,2400,持有2400股,-16845.42,,,,,
168,2025-03-31,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价42.08，成交金额16,832.00元，现金-16,845.42元，交易后持股2800股",建仓成本13.42元,42.08,400,16832.0,13.42,L7；价值线网格第7份；开盘已触发成交,-13.42,,2800,持有2800股,-16845.42,,,,,
169,2025-03-31,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.779，成交金额19,889.52元，现金-19,904.47元，交易后持股500股",建仓成本14.94元,39.779,500,19889.52,14.94,L1；价值线网格第1份；盘中触及结构位成交,-14.94,,500,持有500股,-19904.47,,,,,
170,2025-03-31,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.779，成交金额19,889.52元，现金-19,904.47元，交易后持股1000股",建仓成本14.94元,39.779,500,19889.52,14.94,L2；价值线网格第2份；盘中触及结构位成交,-14.94,,1000,持有1000股,-19904.47,,,,,
171,2025-03-31,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.779，成交金额19,889.52元，现金-19,904.47元，交易后持股1500股",建仓成本14.94元,39.779,500,19889.52,14.94,L3；价值线网格第3份；盘中触及结构位成交,-14.94,,1500,持有1500股,-19904.47,,,,,
172,2025-03-31,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.779，成交金额19,889.52元，现金-19,904.47元，交易后持股2000股",建仓成本14.94元,39.779,500,19889.52,14.94,L4；价值线网格第4份；盘中触及结构位成交,-14.94,,2000,持有2000股,-19904.47,,,,,
173,2025-03-31,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价39.779，成交金额19,889.52元，现金-19,904.47元，交易后持股2500股",建仓成本14.94元,39.779,500,19889.52,14.94,L5；价值线网格第5份；盘中触及结构位成交,-14.94,,2500,持有2500股,-19904.47,,,,,
174,2025-04-03,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 200股，成交价95.989，成交金额19,197.84元，现金-19,212.44元，交易后持股1100股",建仓成本14.60元,95.989,200,19197.84,14.6,L10；价值线网格第10份；盘中触及结构位成交,-14.6,,1100,持有1100股,-19212.44,,,,,
175,2025-04-03,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 400股，成交价41.327，成交金额16,530.90元，现金-16,544.16元，交易后持股3200股",建仓成本13.27元,41.327,400,16530.9,13.27,L8；价值线网格第8份；盘中触及结构位成交,-13.27,,3200,持有3200股,-16544.16,,,,,
176,2025-04-03,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 500股，成交价39.261，成交金额19,630.44元，现金-19,645.25元，交易后持股3700股",建仓成本14.82元,39.261,500,19630.44,14.82,L9；价值线网格第9份；盘中触及结构位成交,-14.82,,3700,持有3700股,-19645.25,,,,,
177,2025-04-07,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价34.89，成交金额17,445.00元，现金-17,458.72元，交易后持股3000股",建仓成本13.72元,34.89,500,17445.0,13.72,L6；价值线网格第6份；开盘已触发成交,-13.72,,3000,持有3000股,-17458.72,,,,,
178,2025-04-07,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价34.89，成交金额17,445.00元，现金-17,458.72元，交易后持股3500股",建仓成本13.72元,34.89,500,17445.0,13.72,L7；价值线网格第7份；开盘已触发成交,-13.72,,3500,持有3500股,-17458.72,,,,,
179,2025-04-07,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 500股，成交价35.35，成交金额17,675.00元，现金-17,688.84元，交易后持股4200股",建仓成本13.84元,35.35,500,17675.0,13.84,L10；价值线网格第10份；开盘已触发成交,-13.84,,4200,持有4200股,-17688.84,,,,,
180,2025-04-08,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价33.47，成交金额16,735.00元，现金-16,748.37元，交易后持股4000股",建仓成本13.37元,33.47,500,16735.0,13.37,L8；价值线网格第8份；开盘已触发成交,-13.37,,4000,持有4000股,-16748.37,,,,,
181,2025-04-08,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 600股，成交价32.4，成交金额19,440.17元，现金-19,454.89元，交易后持股4600股",建仓成本14.72元,32.4,600,19440.17,14.72,L9；价值线网格第9份；盘中触及结构位成交,-14.72,,4600,持有4600股,-19454.89,,,,,
182,2025-04-09,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 600股，成交价30.78，成交金额18,468.16元，现金-18,482.40元，交易后持股5200股",建仓成本14.23元,30.78,600,18468.16,14.23,L10；价值线网格第10份；盘中触及结构位成交,-14.23,,5200,持有5200股,-18482.4,,,,,
183,2025-04-10,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价35.901，成交金额17,950.30元，现金+17,927.34元，本次盈利+1,178.98元，收益率+7.04%，剩余4700股","盈利1,178.98元 (+7.04%)",35.901,500,17950.3,22.95,L8；上一格卖出；盘中触及结构位成交,1178.98,7.0394,4700,持有4700股,17927.34,,,,,
184,2025-04-10,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 600股，成交价35.03，成交金额21,018.00元，现金+20,991.98元，本次盈利+1,537.09元，收益率+7.90%，剩余4100股","盈利1,537.09元 (+7.90%)",35.03,600,21018.0,26.02,L9；上一格卖出；开盘已触发成交,1537.09,7.9008,4100,持有4100股,20991.98,,,,,
185,2025-04-10,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 600股，成交价35.03，成交金额21,018.00元，现金+20,991.98元，本次盈利+2,509.59元，收益率+13.58%，剩余3500股","盈利2,509.59元 (+13.58%)",35.03,600,21018.0,26.02,L10；上一格卖出；开盘已触发成交,2509.59,13.5783,3500,持有3500股,20991.98,,,,,
186,2025-04-16,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 500股，成交价34.106，成交金额17,052.78元，现金-17,066.31元，交易后持股4000股",建仓成本13.53元,34.106,500,17052.78,13.53,L8；价值线网格第8份；盘中触及结构位成交,-13.53,,4000,持有4000股,-17066.31,,,,,
187,2025-04-21,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价35.901，成交金额17,950.30元，现金+17,927.34元，本次盈利+861.04元，收益率+5.05%，剩余3500股",盈利861.04元 (+5.05%),35.901,500,17950.3,22.95,L8；上一格卖出；盘中触及结构位成交,861.04,5.0453,3500,持有3500股,17927.34,,,,,
188,2025-04-23,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价37.79，成交金额18,895.05元，现金+18,871.15元，本次盈利+1,412.43元，收益率+8.09%，剩余3000股","盈利1,412.43元 (+8.09%)",37.79,500,18895.05,23.9,L7；上一格卖出；盘中触及结构位成交,1412.43,8.0901,3000,持有3000股,18871.15,,,,,
189,2025-05-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价36.64，成交金额18,320.00元，现金+18,296.68元，本次亏损-1,607.79元，收益率-8.08%，剩余2500股","亏损-1,607.79元 (-8.08%)",36.64,500,18320.0,23.32,L1；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-1607.79,-8.0775,2500,持有2500股,18296.68,,,,,
190,2025-05-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价36.64，成交金额18,320.00元，现金+18,296.68元，本次亏损-1,607.79元，收益率-8.08%，剩余2000股","亏损-1,607.79元 (-8.08%)",36.64,500,18320.0,23.32,L2；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-1607.79,-8.0775,2000,持有2000股,18296.68,,,,,
191,2025-05-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价36.64，成交金额18,320.00元，现金+18,296.68元，本次亏损-1,607.79元，收益率-8.08%，剩余1500股","亏损-1,607.79元 (-8.08%)",36.64,500,18320.0,23.32,L3；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-1607.79,-8.0775,1500,持有1500股,18296.68,,,,,
192,2025-05-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价36.64，成交金额18,320.00元，现金+18,296.68元，本次亏损-1,607.79元，收益率-8.08%，剩余1000股","亏损-1,607.79元 (-8.08%)",36.64,500,18320.0,23.32,L4；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-1607.79,-8.0775,1000,持有1000股,18296.68,,,,,
193,2025-05-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价36.64，成交金额18,320.00元，现金+18,296.68元，本次亏损-1,607.79元，收益率-8.08%，剩余500股","亏损-1,607.79元 (-8.08%)",36.64,500,18320.0,23.32,L5；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-1607.79,-8.0775,500,持有500股,18296.68,,,,,
194,2025-05-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 500股，成交价36.64，成交金额18,320.00元，现金+18,296.68元，本次盈利+837.96元，收益率+4.80%，清仓",盈利837.96元 (+4.80%),36.64,500,18320.0,23.32,L6；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,837.96,4.7996,0,清仓,18296.68,,,,,
195,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-3,020.83元，收益率-24.33%，剩余1000股","亏损-3,020.83元 (-24.33%)",94.1,100,9410.0,14.41,L1；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-3020.83,-24.3293,1000,持有1000股,9395.59,,,,,
196,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-3,020.83元，收益率-24.33%，剩余900股","亏损-3,020.83元 (-24.33%)",94.1,100,9410.0,14.41,L2；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-3020.83,-24.3293,900,持有900股,9395.59,,,,,
197,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-3,020.83元，收益率-24.33%，剩余800股","亏损-3,020.83元 (-24.33%)",94.1,100,9410.0,14.41,L3；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-3020.83,-24.3293,800,持有800股,9395.59,,,,,
198,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-631.42元，收益率-6.30%，剩余700股",亏损-631.42元 (-6.30%),94.1,100,9410.0,14.41,L4；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-631.42,-6.2972,700,持有700股,9395.59,,,,,
199,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-631.42元，收益率-6.30%，剩余600股",亏损-631.42元 (-6.30%),94.1,100,9410.0,14.41,L5；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-631.42,-6.2972,600,持有600股,9395.59,,,,,
200,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-631.42元，收益率-6.30%，剩余500股",亏损-631.42元 (-6.30%),94.1,100,9410.0,14.41,L6；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-631.42,-6.2972,500,持有500股,9395.59,,,,,
201,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-795.50元，收益率-7.81%，剩余400股",亏损-795.50元 (-7.81%),94.1,100,9410.0,14.41,L7；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-795.5,-7.8058,400,持有400股,9395.59,,,,,
202,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-795.50元，收益率-7.81%，剩余300股",亏损-795.50元 (-7.81%),94.1,100,9410.0,14.41,L8；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-795.5,-7.8058,300,持有300股,9395.59,,,,,
203,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 100股，成交价94.1，成交金额9,410.00元，现金+9,395.59元，本次亏损-718.59元，收益率-7.10%，剩余200股",亏损-718.59元 (-7.10%),94.1,100,9410.0,14.41,L9；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-718.59,-7.1048,200,持有200股,9395.59,,,,,
204,2025-05-09,中际旭创,sz.300308,卖出,"卖出中际旭创(sz.300308) 200股，成交价94.1，成交金额18,820.00元，现金+18,796.18元，本次亏损-416.26元，收益率-2.17%，清仓",亏损-416.26元 (-2.17%),94.1,200,18820.0,23.82,L10；右侧行情左侧标的限额；保留=sz.300394；次日开盘退出,-416.26,-2.1666,0,清仓,18796.18,,,,,
205,2025-05-13,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 500股，成交价39.4，成交金额19,700.00元，现金+19,675.30元，本次盈利+1,986.46元，收益率+11.23%，剩余3700股","盈利1,986.46元 (+11.23%)",39.4,500,19700.0,24.7,L10；上一格卖出；开盘已触发成交,1986.46,11.23,3700,持有3700股,19675.3,,,,,
206,2025-05-16,中宠股份,sz.002891,买入,"买入中宠股份(sz.002891) 4700股，成交价63.44，成交金额298,168.00元，现金-298,342.43元，交易后持股4700股",建仓成本174.43元,63.44,4700,298168.0,174.43,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-174.43,,4700,持有4700股,-298342.43,基本面硬条件通过且多周期强度居前；20日强度+42.1%；60日强度+78.0%；120日强度+86.0%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,,,
207,2025-05-19,中宠股份,sz.002891,卖出,"卖出中宠股份(sz.002891) 4700股，成交价62.57，成交金额294,079.00元，现金+293,759.92元，本次亏损-4,582.50元，收益率-1.54%，清仓","亏损-4,582.50元 (-1.54%)",62.57,4700,294079.0,319.08,开盘未站上62.680；跳空止损成交,-4582.5,-1.536,0,清仓,293759.92,,,,,
208,2025-05-19,中宠股份,sz.002891,买入,"买入中宠股份(sz.002891) 4600股，成交价64.6，成交金额297,160.00元，现金-297,333.84元，交易后持股4600股",建仓成本173.84元,64.6,4600,297160.0,173.84,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-173.84,,4600,持有4600股,-297333.84,基本面硬条件通过且多周期强度居前；20日强度+40.8%；60日强度+81.4%；120日强度+89.4%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.24倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.24倍；多周期均量扣低走高,,,
209,2025-05-21,中宠股份,sz.002891,卖出,"卖出中宠股份(sz.002891) 4600股，成交价63.09，成交金额290,214.00元，现金+289,899.12元，本次亏损-7,434.72元，收益率-2.50%，清仓","亏损-7,434.72元 (-2.50%)",63.09,4600,290214.0,314.88,收盘条件止损；14:55收盘代理价成交,-7434.72,-2.5005,0,清仓,289899.12,,,,,
210,2025-05-27,海大集团,sz.002311,买入,"买入海大集团(sz.002311) 5100股，成交价57.79，成交金额294,729.00元，现金-294,901.42元，交易后持股5100股",建仓成本172.42元,57.79,5100,294729.0,172.42,33未三日下行首仓；强趋势收盘放量突破21日收盘高点；突破位止损；close_confirmed,-172.42,,5100,持有5100股,-294901.42,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；基本面硬条件通过且多周期强度居前；20日强度+12.9%；60日强度+27.2%；120日强度+31.2%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,,,
