date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date
2025-09-26,sz.300308,中际旭创,右侧买入,439.0,439.0,4.39,R37; 浮盈加仓33%; 价格突破21日收盘高点; intraday_breakout,exited,-0.0027,100.0,439.0,买入,100.0,43900.0,5.0,0.0,21.95,26.95,0.0,,,-26.95,-0.0614,-43926.95,5.214933333333334,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,9.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,trade_ready,aligned,,,,,
2025-09-29,sz.300308,中际旭创,突破次日未确认退出,409.22,409.22,-4.39,R37; 开盘未站上439.000; gap_stop,exited,-0.3024,-100.0,439.0,卖出,100.0,40922.0,5.0,20.46,20.46,45.92,26.95,43900.0,-2978.0,-3050.87,-6.9453,40876.08,,,,,,,,,,,,,,
2025-09-29,sz.300308,中际旭创,右侧买入,406.571,406.57099999999997,4.07,R38; 浮盈加仓50%; 上扬MA20/MA60结构回踩20日均线; intraday_cross,exited,-0.0025,100.0,406.57099999999997,买入,100.0,40657.1,5.0,0.0,20.33,25.33,0.0,,,-25.33,-0.0623,-40682.43,7.822400000000002,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,,,,,
2025-09-30,sz.300308,中际旭创,收盘条件退出,402.79,402.79,-4.07,R38; condition stop; 14:55/close proxy,exited,-0.0423,-100.0,406.57099999999997,卖出,100.0,40279.0,5.0,20.14,20.14,45.28,25.33,40657.1,-378.1,-448.71,-1.103,40233.72,,,,,,,,,,,,,,
2025-10-14,sz.002311,海大集团,统一分仓收盘止盈1份,59.76,59.76,-4.08,14:55/close proxy,exited,0.6907,-800.0,51.06,卖出,800.0,47808.0,5.0,23.9,23.9,52.81,23.9,40848.0,6960.0,6883.3,16.8411,47755.19,,,,,,,,,,,,,,
2025-10-20,sh.603979,金诚信,统一分仓收盘止盈1份,62.14,62.14,-6.62,14:55/close proxy,active,2.6951,-1500.0,44.105,卖出,1500.0,93210.0,7.92,46.61,46.61,101.13,38.7,66157.5,27052.5,26912.67,40.6559,93108.87,,,,,,,,,,,,,,
2025-10-22,sh.603979,金诚信,右侧买入,64.02,64.02,10.88,"R39; 浮盈加仓50%; 上涨波段62.5%拉回支撑; 共振=MA5,MA10,MA20; gap_or_open_fill",active,-0.0064,1700.0,64.02,买入,1700.0,108834.0,9.25,0.0,54.42,63.67,0.0,,,-63.67,-0.0585,-108897.67,11.098675,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.625,47.72,76.29,2024-07-03,2025-10-09
2025-10-23,sh.603979,金诚信,收盘条件退出,64.66,64.66,-10.88,R39; condition stop; 14:55/close proxy,active,0.0969,-1700.0,64.02,卖出,1700.0,109922.0,9.34,54.96,54.96,119.27,63.67,108834.0,1088.0,905.07,0.8311,109802.73,,,,,,,,,,,,,,
2025-10-29,sh.603979,金诚信,右侧买入,64.27,64.27,10.93,"R40; 浮盈加仓50%; 上涨波段62.5%拉回支撑; 共振=MA5,MA10; gap_or_open_fill",active,-0.0064,1700.0,64.27,买入,1700.0,109259.0,9.29,0.0,54.63,63.92,0.0,,,-63.92,-0.0585,-109322.92,11.098675,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；量能高于5/10日基准1.23倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；贴近上扬MA20支撑；量能高于5/10日基准1.23倍；多周期均量扣低走高,trade_ready,aligned,0.625,45.38,76.29,2025-07-16,2025-10-09
2025-11-03,sh.603979,金诚信,收盘条件退出,63.56,63.56,-10.93,R40; condition stop; 14:55/close proxy,active,-0.1324,-1700.0,64.27,卖出,1700.0,108052.0,9.18,54.03,54.03,117.24,63.92,109259.0,-1207.0,-1388.15,-1.2698,107934.76,,,,,,,,,,,,,,
2025-12-02,sz.002311,海大集团,统一分仓收盘止盈1份,53.11,53.11,-4.08,14:55/close proxy,exited,0.1593,-800.0,51.06,卖出,800.0,42488.0,5.0,21.24,21.24,47.49,23.9,40848.0,1640.0,1568.62,3.8379,42440.51,,,,,,,,,,,,,,
2026-01-20,sz.002311,海大集团,收盘条件退出,51.0,51.0,-8.17,R2; condition stop; 14:55/close proxy,active,-0.0185,-1600.0,51.06,卖出,1600.0,81600.0,6.94,40.8,40.8,88.54,47.79,81696.0,-96.0,-232.33,-0.2842,81511.46,,,,,,,,,,,,,,
2026-05-06,sh.688155,先惠技术,右侧买入,106.95,106.95,19.25,R41; 直接突破首仓; 价格突破21日收盘高点; gap_breakout,active,-0.0113,1800.0,106.95,买入,1800.0,192510.0,16.36,0.0,96.25,112.62,0.0,,,-112.62,-0.0585,-192622.62,20.0,False,True,200.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.62倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.62倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2026-05-08,sh.688155,先惠技术,收盘条件退出,100.91,100.91,-19.25,R41; condition stop; 14:55/close proxy,active,-1.1069,-1800.0,106.95,卖出,1800.0,181638.0,15.44,90.82,90.82,197.08,112.62,192510.0,-10872.0,-11181.7,-5.805,181440.92,,,,,,,,,,,,,,
2026-05-08,sz.301219,腾远钴业,右侧买入,68.37,68.37,19.83,R42; 直接突破首仓; 价格突破21日收盘高点; intraday_breakout,active,-0.0116,2900.0,68.37,买入,2900.0,198273.0,16.85,0.0,99.14,115.99,0.0,,,-115.99,-0.0585,-198388.99,20.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,,,,,
2026-05-11,sz.301219,腾远钴业,收盘条件退出,68.34,68.34,-19.83,R42; condition stop; 14:55/close proxy,active,-0.0302,-2900.0,68.37,卖出,2900.0,198186.0,16.85,99.09,99.09,215.03,115.99,198273.0,-87.0,-418.02,-0.2107,197970.97,,,,,,,,,,,,,,
