date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2025-01-17,0.89226173858275,809167.7385827501,90.6873,7.96,10
2025-01-20,0.89320773858275,809167.7385827501,90.5912,7.96,10
2025-01-21,0.8935377385827501,809167.7385827501,90.5578,7.96,10
2025-01-22,0.8924597385827501,809167.7385827501,90.6671,7.96,10
2025-01-23,0.8966177385827501,809167.7385827501,90.2467,7.96,10
2025-01-24,0.8961117385827501,809167.7385827501,90.2976,7.96,10
2025-01-27,0.89553973858275,809167.7385827501,90.3553,7.96,10
2025-02-05,0.89320773858275,809167.7385827501,90.5912,7.96,10
2025-02-06,0.8944837385827501,809167.7385827501,90.462,7.96,10
2025-02-07,0.8953637385827501,809167.7385827501,90.3731,7.96,10
2025-02-10,0.89487973858275,809167.7385827501,90.422,7.96,10
2025-02-11,0.8937357385827501,809167.7385827501,90.5377,7.96,10
2025-02-12,0.8946817385827501,809167.7385827501,90.442,7.96,10
2025-02-13,0.89430773858275,809167.7385827501,90.4798,7.96,10
2025-02-14,0.8954517385827501,809167.7385827501,90.3642,7.96,10
2025-02-17,0.89481373858275,809167.7385827501,90.4286,7.96,10
2025-02-18,0.89386773858275,809167.7385827501,90.5243,7.96,10
2025-02-19,0.8938457385827501,809167.7385827501,90.5266,7.96,10
2025-02-20,0.8923057385827501,809167.7385827501,90.6828,7.96,10
2025-02-21,0.89371373858275,809167.7385827501,90.5399,7.96,10
2025-02-24,0.8942417385827501,809167.7385827501,90.4865,7.96,10
2025-02-25,0.8925697385827501,809167.7385827501,90.656,7.96,10
2025-02-26,0.8937797385827501,809167.7385827501,90.5332,7.96,10
2025-02-27,0.8951217385827501,809167.7385827501,90.3975,7.96,10
2025-02-28,0.8919537385827501,809167.7385827501,90.7186,7.96,10
2025-03-03,0.8908977385827501,809167.7385827501,90.8261,7.96,10
2025-03-04,0.89036973858275,809167.7385827501,90.88,7.96,10
2025-03-05,0.89087573858275,809167.7385827501,90.8284,7.96,10
2025-03-06,0.8926797385827501,809167.7385827501,90.6448,7.96,10
2025-03-07,0.8916677385827501,809167.7385827501,90.7477,7.96,10
2025-03-10,0.8896217385827501,809167.7385827501,90.9564,7.96,10
2025-03-11,0.8894677385827501,809167.7385827501,90.9721,7.96,10
2025-03-12,0.88882973858275,809167.7385827501,91.0374,7.96,10
2025-03-13,0.88869773858275,809167.7385827501,91.051,7.96,10
2025-03-14,0.8933397385827501,809167.7385827501,90.5778,7.96,10
2025-03-17,0.8930097385827501,809167.7385827501,90.6113,7.96,10
2025-03-18,0.8923497385827501,809167.7385827501,90.6783,7.96,10
2025-03-19,0.8925257385827501,809167.7385827501,90.6604,7.96,10
2025-03-20,0.88992973858275,809167.7385827501,90.9249,7.96,10
2025-03-21,0.8890277385827501,809167.7385827501,91.0172,7.96,10
2025-03-24,0.8895997385827501,809167.7385827501,90.9586,7.96,10
